Date,Original Headline,Keywords,Keyword-Constrained Headline,Generated Headline,Academic-style Headline,Generated Summary
20160104,"Gold opens 2016 strongly amid Saudi-Iran tension, weak China data","Gold, Saudi Arabia, Iran, China, geopolitical instability",Gold Rises on Saudi-Iran Tensions and Weak China Data,Gold Surges Amid Geopolitical Instability and Economic Concerns,Impact of Saudi-Iran Political Developments and Chinese Manufacturing Downturn on Gold Prices,Gold prices rise due to Saudi-Iran tensions and weak China manufacturing data
20160104,Gold spikes 1% as Saudi Arabia-Iran tensions flare up,"gold, geopolitical tensions, Saudi Arabia, Fed rate hike, Chinese manufacturing",Gold Prices Surge Amid Saudi-Iran Tensions and Market Jitters,Saudi-Iran Conflict Drives Gold Prices Higher as Market Eyes Fed Actions,Geopolitical Tensions and Economic Indicators Influence Precious Metals Market,Gold prices spike as Saudi Arabia cuts ties with Iran; weak Chinese manufacturing impacts copper
20160104,Iran says boosting oil exports depends on future demand,"Iran, crude oil, sanctions, global demand, oil prices",Iran Eyes Crude Oil Export Surge Post-Sanctions Amid Global Demand Uncertainties,Iran Plans Post-Sanctions Oil Export Boost Without Worsening Price Crisis,Understanding Iran's Strategy for Reentering the Global Oil Market Post-Sanctions,"Iran plans to increase oil exports cautiously post-sanctions, considering global demand to avoid further price drops."
20160104,Natural gas futures under pressure as weather forecasts turn milder,"natural gas, mild weather, New York Mercantile Exchange, U.S. Energy Information Administration, storage report",Mild Weather Forecast Lowers U.S. Natural Gas Prices Amid Higher Storage,U.S. Natural Gas Prices Dip as Mild Weather Approaches,Natural Gas Market Response to Climatic Conditions and Storage Levels ,U.S. natural gas prices fall due to forecasts of mild weather and ample storage levels
20160104,NYMEX crude gains in Asia with Middle East tensions eyed,"Crude oil prices, Middle East tension, Iran sanctions, Saudi Arabia, geopolitical conflict",Crude oil prices rise amid increasing Middle East tension and Iran sanctions,Middle East tension drives volatile crude oil prices,Geopolitical conflict and oil market dynamics: Analyzing the impact of Middle Eastern tensions,Oil prices rise in Asia due to Middle East tension and Iranian sanctions concerns
20160104,Oil adds to sharp gains after bullish Genscape data,"Oil prices, Cushing supplies, geopolitical tensions, Saudi-Iran relations, Brent futures",Oil Prices Soar Amid Falling Supplies and Rising Saudi-Iran Tensions,Oil Prices Climb with Supply Drop and Middle East Tensions,Geopolitical Tensions and Supply Reductions Drive Sharp Increase in Oil Prices,Oil prices rise as supplies fall and geopolitical tensions escalate
20160104,Oil off early highs as China factory data weighs,"Oil prices, Asia economy, Saudi Arabia, Iran, diplomatic ties",Saudi-Iran Diplomatic Row Fails to Lift Oil Prices as Asian Economies Struggle,Oil Prices Drop Amid Struggles in Major Asian Economies and Saudi-Iran Tension,The Impact of Saudi-Iran Diplomatic Tensions on Oil Prices in Context of Asian Economic Performance,Oil prices fall as Saudi-Iran tensions fail to counter weak Asian economies
20160104,Oil prices trim gains after jumping 3% on Saudi-Iran tensions,"geopolitical tension, Saudi Arabia, Iran, oil prices, oversupply",Geopolitical Tension Between Saudi and Iran Triggers Oil Price Fluctuations,Saudi-Iran Diplomatic Conflict Sparks Oil Market Volatility,Impact of Saudi-Iran Diplomatic Severance on Global Oil Prices: An Analysis,Oil prices initially surged but later trimmed gains amid Saudi-Iran conflict and oversupply concerns.
20160104,"U.S. crude futures close lower in volatile session, amid Saudi-Iran row","U.S. crude, Middle East tensions, oil prices, Iran ties, Saudi Arabia",Middle East Tensions Cause Volatility in U.S. Crude Prices,Escalating Middle East Conflict Hits Oil Prices Hard,Economic and Diplomatic Factors Contributing to Recent Volatility in Crude Oil Markets,U.S. crude futures drop amidst heightened Middle East tensions and market volatility
20160104,U.S. oil 'strippers' maneuver to keep pumping amid crude slump,"stripper wells, oil prices, production cuts, resilience, family-owned businesses",Resilient Stripper Well Operators Keep Oil Flowing Despite Price Slump,Stripper Wells Persevere Amid Oil Price Collapse,Economic Perseverance of U.S. Stripper Well Operators Amid Low Crude Prices,"Small U.S. oil producers endure price slump, maintain resilience to sustain production"
20160105,Copper recovers from Monday's selloff as China moves to calm markets,"Copper prices, China's central bank, cash injection, stock market plunge, global financial markets",Copper Prices Rebound as China Injects $20 Billion Amid Market Jitters,China's $20 Billion Boost Calms Markets; Copper Prices Edge Higher,China's Central Bank Injects Record Funds to Stabilize Copper Prices and Stock Markets,China's $20B cash injection boosts copper prices after market selloff
20160105,"Crude falls sharply, as oversupply concerns outweigh geopolitical risks","crude futures, oversupply, geopolitical tensions, U.S. crude, Strait of Hormuz",Crude Futures Plunge Amid Oversupply Concerns and Geopolitical Tensions,Strait of Hormuz Conflict Escalates as Crude Futures Plummet,Crude Futures Drop Preceding API Inventory Report: Assessing Oversupply and Geopolitical Risks,"Crude prices fall sharply on oversupply worries, geopolitical tensions surround Strait of Hormuz"
20160105,Gold holds near 4-week high amid safe-haven demand,"gold, geopolitical instability, Middle East, global growth, manufacturing activity",Gold Prices Rise Amid Middle East Instability and Global Growth Concerns,Gold Prices near Four-Week High as Investors Seek Safe Haven,Geopolitical Instability in the Middle East and Global Growth Concerns Impact Gold Prices,Gold prices climb as investors react to Middle East unrest and global growth fears
20160105,"Gold prices dip in Asia with China economy, Middle East tension eyed","gold, China, Middle East, interest rates, Federal Reserve",China Policies Impact Gold Prices Amid Middle East Tensions,"Gold, Silver, and Copper Prices Slightly Decline in Asia Amid Geopolitical Concerns",An Analysis of Gold Futures Amid Geopolitical Tensions and China's Economic Policies,Gold prices edge lower as investors monitor China's economic policies and Middle East tensions
20160105,Gold prices inch higher amid global growth concerns,"gold, global growth, safe-haven, geopolitical instability, copper",Gold Inches Higher as Global Growth Concerns Spark Demand for Safe-Haven Assets,Gold Prices Edge Up Amid Global Growth Fears and Middle East Tensions,Analysis of Gold Price Movements in Response to Global Growth Concerns and Geopolitical Instability,Gold prices rise on global growth concerns and Middle East tensions
20160105,Gold ticks up as widespread geopolitical concerns remain in focus,"Gold, Dollar, China, Geopolitical, Federal Reserve",Gold Rises Amid Geopolitical Concerns and Stronger Dollar,Gold Steady Despite Global Economic Worries and Rising Dollar,Analysis of Recent Movements in Gold Prices Amid Geopolitical Developments and Economic Indicators,Gold edges higher as geopolitical tensions and economic growth fears persist
20160105,More guards killed in Islamic State attacks on Libya's oil ports,"Islamic State, Libya, oil port, militants, attack","Islamic State Militants Attack Libyan Oil Port, Setting Fire to Storage Tank","Islamic State Attacks Near Libyan Oil Port, Setting Blaze",The Impact of Islamic State Attacks on Libyan Oil Ports and Storage Facilities,"Islamic State militants attack Libyan oil port Es Sider for a second day, killing guards and igniting oil storage tanks."
20160105,Natural gas futures slide 3% despite cold weather forecasts,"natural gas, prices, U.S. Energy Information Administration, storage, El Niño",U.S. Natural Gas Prices Drop Despite Colder Weather Forecasts,Natural Gas Prices Decline Amid Rising U.S. Storage Levels,Fluctuations in U.S. Natural Gas Prices: Market Analysis and Weather Impact,"U.S. natural gas prices fell 2.93% as mild winter limits heating demand; storage at 3.756 trillion cubic feet, 14.2% higher than last year."
20160105,NYMEX crude up in Asia as API estimates show sharp drop in stockpiles,"crude oil, stockpiles, OPEC, geopolitical tensions, Strait of Hormuz","Crude Oil Prices Rise as U.S. Stockpiles Drop Sharply, Pressured by OPEC's Production Quotas",Crude Prices Rebound as U.S. Stockpiles Fall and Middle East Tensions Rise,Impact of OPEC Production Quotas on Crude Oil Prices in the Context of U.S. Stockpile Changes,Crude prices gain on sharp U.S. stockpile drop amid rising Middle East tensions and OPEC decisions
20160105,"Oil prices fall as weak China data, oversupply drag on markets","China, crude oil, production levels, supply surplus, oil demand",Chinese Economic Slowdown Hits Crude Oil Prices Amid Persistent Supply Surplus,Crude Oil Prices Slump Amid China's Rail Freight Decline and High Production,Impact of Chinese Economic Data on Global Crude Oil Prices in Context of Continued High Production Levels,Crude oil prices fall as China's rail freight data raises demand concerns and high production persists
20160105,"Oil slides as China, oversupply woes drag on markets","crude oil, Chinese data, production levels, U.S. crude futures, Brent futures",Chinese Data Drags Crude Oil Prices Down Amid High Production Levels,Chinese Data Weighs on Crude Oil Prices as Supply Surplus Persists,Impact of Chinese Economic Data on Crude Oil Prices Examined,Chinese data drags down crude oil prices despite initial gains
20160105,Oil slips as oversupply concerns outweigh Middle East tensions,"supply glut, geopolitical tension, crude oil, Brent futures, OPEC.",Oil Prices Dip Amid Global Supply Glut and Geopolitical Tensions,Oil Prices Fall as Supply Glut Overshadows Middle East Tensions,Brent Futures and Geopolitical Instability: Analyzing Recent Trends in Oil Prices,Oil prices edge lower as supply glut worries overshadow geopolitical tensions between Saudi Arabia and Iran.
20160106,Brent oil prices fall to fresh 11-year lows in risk-off trade,"Brent oil, global economy, supply glut, U.S. stockpiles, production",Brent Oil Prices Hit Lowest Point Since 2004 Amid Global Supply Concerns,Oil Prices Plunge to Historic Lows on Mounting Supply and Economic Worries,Analyzing the Decline in Brent Oil Prices Amid Global Economic and Supply Dynamics,Brent oil prices fall to a 17-year low due to global economic concerns and supply glut fears
20160106,Copper slips as bearish China data weighs,"Copper prices, China slowdown, services sector, weak data, global growth",Copper Prices Slip as China Services Sector Slows to 17-Month Low,China Services Slowdown Weighs on Copper Prices,China's Services Growth Slows to 17-Month Low Prompting Copper Price Drop,"Copper prices fell as China's services sector grew at its slowest rate in 17 months, raising concerns about global economic growth and prompting investor caution."
20160106,Crude oil slides by five percent as gasoline spike paints bleak outlook,"Crude oil prices, gasoline stocks, U.S. gasoline supplies, oil market, price war",Crude Oil Prices Plummet as Gasoline Surplus Puts Market Under Pressure,Crude Oil Prices Fall Below $35 Amid Gasoline Supply Surge,Impact of Increased Gasoline Stocks on Crude Oil Prices,"Oil Prices Drop Below $35 as Gasoline Stocks Surge, Demand Declines"
20160106,Geopolitical tensions boost gold futures to 1-month high,"Gold prices, North Korea nuclear test, Saudi-Iran tensions, global growth concerns, China economic slowdown",Gold Prices Surge Amid North Korea Nuclear Test and Saudi-Iran Tensions,Gold Prices Hit One-Month High as Investors Seek Safe Haven,Investors Flock to Gold Due to Heightened Geopolitical Tensions and Global Economic Uncertainty,"Gold prices surged to a one-month peak due to North Korea's nuclear test and Saudi-Iran tensions, while weak Chinese data hit copper prices."
20160106,Gold prices dip in Asia as Fed minutes come in along expected lines,"gold, Federal Reserve, interest rates, North Korea, safe-haven",Gold Slips as Fed Minutes Show Unanimous Support for Rate Hikes Amid North Korea Tensions,Gold Slips as Federal Reserve Signals Unanimous Support for Rate Hikes,Federal Reserve's Unanimous Rate Hike Decision Following Seven-Year Zero Interest Policy,"Gold price dips after Fed's rate hike, North Korea claims hydrogen bomb test"
20160106,"Gold prices hold gains after ADP jobs report, U.S. trade data","Gold prices, U.S. employment, nuclear test, Saudi-Iran tensions, Chinese economy",U.S. Employment Data and Middle East Tensions Boost Gold Prices Amid Global Uncertainty,Gold Prices Rise Amid Strong U.S. Employment Data and Geopolitical Tensions,Correlation Between U.S. Employment Reports and Metal Market Trends: An Analysis of Recent Data,Gold prices rose as U.S. employment data surpassed expectations amidst global tensions
20160106,"Gold surges 1%, as North Korea rattles markets with nuclear test","gold, North Korea, hydrogen bomb, safe-haven asset, Federal Reserve",Gold Rallies as North Korea's Hydrogen Bomb Test Sparks Safe-Haven Demand,"North Korea's Hydrogen Bomb Test Rattles Markets, Boosts Gold to Near Two-Month Highs",Impact of North Korea's Alleged Hydrogen Bomb Test on Safe-Haven Assets,Gold soars over 1% as North Korea claims hydrogen bomb test; investors seek safety
20160106,Natural gas futures push higher ahead of weekly storage report,"natural gas, U.S. inventories, demand, cold weather, prices",Natural Gas Prices Surge as Cold Weather Drives Demand and Inventories Drop,Gas Prices Rise Ahead of Key Inventory Report Despite El Niño Impact,Natural Gas Price Trends Correlate with Seasonal Demand and Inventory Fluctuations,U.S. natural gas prices rise due to increased demand from cold weather and upcoming inventory report
20160106,NYMEX crude makes small gains in Asia on geopolitical tensions,"crude oil, geopolitical tensions, interest rates, U.S. dollar, Saudi Arabia",Geopolitical Tensions Lift Crude Oil Prices Amidst Global Supply Concerns,Crude Oil Prices Edge Higher in Asia Despite Oversupply and Demand Worries,Analysis of Recent Crude Oil Price Movements Amid Geopolitical Events and Market Dynamics,Modest gains in crude oil prices driven by geopolitical tensions despite oversupply concerns
20160106,Oil prices fall to 11 year trough,"Oil, Lowest, Saudi Arabia, Iran, OPEC",Oil Falls to 11-Year Low Amid Saudi-Iran Tensions and OPEC Production Uncertainty,Oil Prices Hit Record Low Driven by Turmoil Between Saudi Arabia and Iran,Impact of Saudi-Iran Conflict on Global Oil Prices and OPEC Production Prospects,Oil prices drop to an 11-year low due to Saudi Arabia-Iran conflict and oversupply concerns
20160106,TransCanada sues U.S. over Keystone XL pipeline rejection,"Keystone XL, TransCanada, lawsuit, NAFTA, Obama","TransCanada Sues to Overturn Obama's Keystone XL Rejection, Seeking $15 Billion in NAFTA Damages",TransCanada Seeks $15 Billion Over Keystone Pipeline Rejection,"TransCanada Corp Initiates Legal Action Against U.S. Government Over Keystone XL Permit Denial, Invoking NAFTA Provisions","TransCanada sues U.S. to reverse Keystone XL rejection, seeks $15 billion in NAFTA damages"
20160106,U.S. crude plunges 5% to 7-year low amid escalating Middle East conflict,"Crude futures, Saudi Arabia, Iran tensions, oil oversupply, U.S. crude inventories","Crude Futures Plummet as Saudi-Iran Tensions Escalate, Global Oversupply Weighs on Prices",Oil Prices Hit Multi-Year Lows Amid Rising Saudi-Iran Tensions and Surplus,Analysis of Current Downward Trends in Global Crude Prices Amid Geopolitical Tensions,Crude futures plunge to multi-year lows as Saudi-Iran conflict and oversupply persist
20160106,WTI oil futures add to losses after bearish U.S. supply data,"West Texas Intermediate, gasoline supplies, crude oil prices, U.S. inventories, global supply glut","Crude Oil Prices Plunge as U.S. Gasoline Supplies Surge, Global Supply Glut Looms",U.S. Oil Futures Fall Sharply Amid Rising Gasoline Supplies and Global Oversupply Fears,U.S. Oil Prices Decline Due to Increased Gasoline Inventories and Global Production Surplus,"U.S. oil futures drop as gasoline inventories surge, exacerbating global supply glut"
20160107,Copper collapses to lowest since 2009 amid China turmoil,"Copper, China, Global Economy, Yuan, Stock Market",Copper Prices Plunge to Six-Year Low Amid China's Economic Struggles,Copper Prices Drop as Chinese Market Turmoil Worsens,Analysis of Copper Market Dynamics Amid Chinese Economic Challenges,Copper prices hit six-year low as Chinese stock market turmoil and yuan depreciation impact global economy
20160107,Copper tumbles to 6-week lows amid China-led global turmoil,"copper prices, Chinese stock markets, yuan depreciation, global economy, industrial metal",Copper Prices Plunge as Chinese Stock Markets and Yuan Depreciation Stir Concerns,Copper Prices Hit Six-Week Low Amid Global Economic Fears,Copper Futures Decline Due to Chinese Market Turmoil and Yuan Depreciation,Copper prices fall to six-week low due to China’s market plunge and yuan depreciation
20160107,Crude falls to 12-year low as China sell-off exacerbates demand fears,"Oil prices, China sell-off, supply-demand imbalance, Saudi-Iran conflict, U.S. Dollar Index",Oil prices slump as China sell-off and supply concerns hit market,Crude futures fall to lowest in 12 years amid global market turbulence,China sell-off and supply-demand dynamics weigh on global oil markets,Crude oil prices plummet due to China's market sell-off and ongoing supply-demand issues
20160107,Gold jumps to 9-week high amid global stock market meltdown,"Gold, global stock markets, China, yuan, Federal Reserve",Gold Prices Surge as China-led Stock Market Meltdown Drives Investors to Safe Haven,Gold Prices Surge to Nine-Week High Amid Global Stock Market Turmoil,Gold Prices Elevated Due to Risk Aversion Stemming from China Stock Market Volatility,"Gold reaches nine-week high amid Chinese market turmoil, rising geopolitical tensions"
20160107,Gold prices down in Asia with Shanghai shares up at the break,"Volatility, PBOC, Yuan, Gold, Market",Volatility Spurs Global Markets as Gold Eases and Yuan Strengthens,Gold Slips in Asia Amid Market Volatility and Yuan's Rise,Academic Analysis: Market Volatility Eases Gold Prices as PBOC Strengthens Yuan,Gold fell as the Shanghai Composite rebounded and the yuan strengthened amid global market volatility and the Fed's gradual rate hike stance.
20160107,"Gold surges to 9-week high, as investors seek safety from China sell-off","gold, PBOC, yuan, equities, interest rates",Gold Hits Nine-Week High as PBOC Yuan Adjustment Triggers Market Turmoil,Gold Surges Amid Chinese Market Chaos and PBOC Yuan Adjustment,Effect of PBOC Yuan Adjustment on Gold and Global Equities,"Gold surges to nine-week high after PBOC adjusts yuan, triggering equity downturns"
20160107,Natural gas futures soar more than 4% after bullish U.S. storage data,"Natural gas, storage, demand, prices, U.S.",Natural gas futures surge as storage levels drop amid cold weather,Natural gas futures rise 4.61% on unexpected supply drop,U.S. natural gas futures increase significantly following higher-than-expected storage decline,"Natural gas futures jump 4.61% as cold weather boosts demand, storage drops"
20160107,NYMEX crude gains in Asia in rebound from prolonged slide,"Crude oil, yuan, PBOC, Shanghai Composite, Brent crude",Crude Oil Rises as Yuan Strengthens; Shanghai Shares Rebound,Crude Oil Prices Jump While Shanghai Stock Market Recovers,Impact of Yuan Appreciation and Oil Market Volatility on Global Markets,Crude oil prices rise and yuan strengthens as Shanghai stock market rebounds
20160107,Oil down again to 12-year low; $30 handle looks more likely,"Oil prices, China turmoil, market slump, supply glut, investment strategies",China turmoil fuels oil's plunge to 12-year lows amid global market slump,Oil prices sink to 12-year lows on China market chaos and supply glut,A Global Study on the Decline of Oil Prices Triggered by Chinese Financial Instability,"Oil prices tumble to 12-year lows, driven by China turmoil and global supply glut"
20160107,Oil extends rout; WTI prices plunge to lowest since 2003,"oil prices, China economic outlook, global supply glut, crude oil inventories, market sentiment",Oil Prices Hit Decade Lows Amid China Economic Concerns and Global Supply Glut,Oil Prices Extend Plunge to Decade Lows on Supply Glut and China Worries,Analysis of Oil Prices Reflects Impact of China's Economic Health and Persistent Oversupply,Oil prices fall to decade lows as oversupply fears and China's outlook weigh
20160107,Oil prices plunge to more than 10-year lows on market turmoil,"oil, China, yuan, global glut, OPEC",Oil Prices Plummet Amid China's Market Turmoil and Yuan Depreciation,Oil Prices Crash to Decade Lows amid Global Production Glut and China's Economic Woes,Analysis of Oil Price Decline in Context of Yuan Fluctuations and Global Production Trends,"Oil prices hit decade-low levels due to China market crisis, yuan depreciation, and global oversupply concerns"
20160107,Safe haven demand buoys gold futures to 9-week high,"gold prices, China stock market, global economy, circuit breakers, commodity trading",Gold Prices Surge as China Stock Market Meltdown Triggers Global Economic Concerns,Gold Prices Surge Amid China-Led Stock Market Meltdown,Gold Prices Elevated Following China's Stock Market Suspensions and Economic Turmoil,Gold soars on economic unrest following China's market suspensions and devaluation
20160107,TransCanada legal challenges over Keystone pipeline face long odds,"TransCanada, Keystone XL, NAFTA, lawsuit, Obama's decision","TransCanada Sues U.S. Over Keystone XL Denial, Citing NAFTA and Unfair Treatment","TransCanada Fights Back Against Keystone XL Rejection, Seeking $15 Billion in Damages",TransCanada Pursues Legal Remedies Against Obama Administration's Keystone XL Rejection,"TransCanada battles Obama’s Keystone XL decision, eyes NAFTA damages and federal court win."
20160107,White House says confident acted lawfully in Keystone pipeline rejection,"Keystone XL, Obama administration, TransCanada, NAFTA lawsuit, crude oil pipeline",Obama Administration Defends Lawful Keystone XL Rejection Amid TransCanada NAFTA Lawsuit,TransCanada Sues U.S. Government for $15 Billion Over Keystone XL Rejection,"Obama Administration Legally Justified in Keystone XL Pipeline Rejection, Says White House",Obama administration defends lawful rejection of Keystone XL pipeline as TransCanada seeks $15 billion in NAFTA damages
20160108,"Crude falls slightly, ending tumultuous week near 12-year lows","oil prices, crude futures, OPEC, Shanghai Composite Index, U.S. oil production","Oil Prices Fall as Crude Futures Hit 12-Year Low Amid OPEC, China Concerns",Crude Price Plummets as OPEC Holds Steady and China Fears Grow,Crude Price Dynamics: Insights into Recent Oil Market Trends Amid Global Economic Concerns,Crude futures fall to 12-year lows fueled by OPEC decision and China's economic slowdown
20160108,"Gold retreats from 9-week high amid strong U.S. jobs gains, China rally","gold, dollar, Federal Reserve, employment, equity",Gold Slides as Dollar Strengthens Amid Mixed U.S. Jobs Report,Gold Retreats Following Stronger Dollar and Mixed U.S. Employment Data,Fluctuations in Gold Prices Driven by U.S. Dollar Strength and Labor Market Uncertainty,Gold falls from nine-week highs as dollar strengthens and U.S. jobs report adds ambiguity on Fed rate hike timing
20160108,Gold slides lower as U.S. dollar recovers,"gold prices, U.S. dollar, yuan guidance rate, market volatility, jobless benefits",Gold Prices Slide as Dollar Recovers Amid Yuan Guidance Rate Shift,Gold Prices Decline Amid Dollar Recovery and China's Yuan Adjustments,Gold Prices Experience Downturn Following Yuan Rate Adjustment by PBOC,Gold prices fell from a two-month peak as the U.S. dollar strengthened due to PBOC's higher yuan guidance rate.
20160108,"Oil prices dip, erasing earlier gains; down 10 percent on week","Oil prices, global oversupply, demand outlook, bearish sentiment, stock market",Bearish Sentiment Drags Crude Oil Prices to New Lows Amid Global Oversupply,Oil Prices Sink Again: Markets Rattled by Surplus and Bleak Outlook,An Analysis of Recent Trend Reversals in Crude Oil Prices Due to Persistent Global Oversupply and Diminished Demand Forecasts,"Crude oil prices continue to fall, driven by global oversupply and a bleak demand outlook"
20160108,Oil remains near 12-year lows as glut concerns persist,"oil prices, supply glut, Chinese markets, U.S. shale, OPEC",U.S. Oil Prices Near 12-Year Lows Amid Supply Glut and Shaky Chinese Markets,Oil Prices Hit Historic Lows Due to Global Supply Glut,Global Oil Prices Persist at Historical Lows Amid Continued Oversupply and Production Pressures,U.S. crude futures near 12-year lows as global oversupply persists despite Chinese market stabilization
20160110,Crude oil futures - weekly outlook: January 11 - 15,"China economic outlook, global supply glut, Brent oil prices, U.S. shale production, oil market analysts",Oil Prices Tumble as China Economic Concerns Deepen and Global Glut Worsens,Oil Prices Hit Decade Low Amid China Worries and Persistent Global Oversupply,Analysis of Global Crude Oil Prices and Influencing Factors Amid Economic Uncertainties,Oil prices drop to decade lows due to China’s economic concerns and global supply glut
20160110,Gold / Silver / Copper futures - weekly outlook: January 11 - 15,"gold, U.S. dollar, jobs data, interest rates, China",Gold Prices Fall from Nine-Week High as Strong Jobs Data Boosts U.S. Dollar,Gold Drops as Strong U.S. Dollar Gains on Robust Jobs Data,An Analysis of Recent Trends in Gold Prices Relative to U.S. Economic Indicators,Gold retreats from nine-week high due to strong U.S. jobs data boosting the dollar and interest rate expectations
20160110,"Gold prices gain in Asia on economic, political turmoil, copper down","Gold, Asia, China, economic reports, Middle East",Gold Gains Amid Economic Turmoil in China and Middle East Tensions,Gold Prices Rise as Asian Markets Brace for Economic Shifts,Gold Prices Increase Amid Ongoing Global Economic Uncertainty,Gold rises in Asia due to China’s economic issues and Middle Eastern tensions
20160110,Natural gas futures - weekly outlook: January 11 - 15,"natural gas, prices, demand, weather, storage",Natural Gas Prices Surge to 11-Week High on Freezing Weather Forecasts,Natural gas prices jump as freezing temperatures boost demand,Assessment of U.S. Natural Gas Market: Prices Rise on Weather Forecast and Inventory Data,Natural gas prices hit 11-week high due to freezing temperatures and higher demand
20160110,NYMEX crude falls more than 2% in Asia as oversupply worries grow,"Crude, China, production, demand, oversupply",Crude Slumps as China Economic Concerns and Global Oversupply Weigh on Markets,Oil Prices Tumble to Decade Low Amid Global Supply Glut and China Fears,Crude Prices Plummet Amid Persistent Global Oversupply and Economic Uncertainties,Crude oil prices hit a decade low due to oversupply and concerns about China's economy
20160110,NYMEX crude weaker in early Asia with focus on China this week,"crude, oil, China, production, supply",Crude Oil Slumps as China Trade Data Anticipated Amid Global Supply Glut,Crude Oil Prices Hit New Lows Amid Global Oversupply Concerns,Analyzing the Impact of China’s Economic Outlook on Global Crude Oil Prices,Oil prices fall with a global supply glut and anticipation of key China trade data
