Date,Date Group,Generated Summary,Classification,Positive,Negative,Neutral
2015-01-05,2015-01-08,copper prices fell oneweek low stronger us dollar reduced demand commodities oil prices hit fiveyear low investors awaited key us economic data later week,negative,0.01,0.99,0.0
2015-01-06,2015-01-08,copper prices remained near lowest levels since 2010 concerns greeces potential euro zone exit strong us dollar weighed commodities oil prices also continued decline supply glut fears,negative,0.01,0.99,0.0
2015-01-07,2015-01-08,brent crude oil prices fell $ 50 barrel first time since 2009 due global supply glut weak demand signs production cuts opec growing fears deflation prices dropped 57 % since last june raising concerns declines economic impacts,negative,0.01,0.99,0.0
2015-01-08,2015-01-08,global oil prices stabilized fourday decline supported strong us jobs data hopes european stimulus traders remain cautious amid ongoing oversupply storage buildup major trading firms booking supertankers store excess crude signaling continued market uncertainty,negative,0.01,0.99,0.0
2015-01-04,2015-01-09,oil prices fell lowest levels since 2009 oversupply concerns strong us dollar drove brent wti crude sixth consecutive week investors watching upcoming us economic data market direction,negative,0.01,0.99,0.0
2015-01-05,2015-01-09,copper prices fell oneweek low stronger us dollar reduced demand commodities oil prices hit fiveyear low investors awaited key us economic data later week,negative,0.01,0.99,0.0
2015-01-06,2015-01-09,copper prices remained near lowest levels since 2010 concerns greeces potential euro zone exit strong us dollar weighed commodities oil prices also continued decline supply glut fears,negative,0.01,0.99,0.0
2015-01-07,2015-01-09,brent crude oil prices fell $ 50 barrel first time since 2009 due global supply glut weak demand signs production cuts opec growing fears deflation prices dropped 57 % since last june raising concerns declines economic impacts,negative,0.01,0.99,0.0
2015-01-08,2015-01-09,global oil prices stabilized fourday decline supported strong us jobs data hopes european stimulus traders remain cautious amid ongoing oversupply storage buildup major trading firms booking supertankers store excess crude signaling continued market uncertainty,negative,0.01,0.99,0.0
2015-01-09,2015-01-09,global oil prices fell lowest levels since april 2009 rebounding slightly baker hughes reported largest weekly drop us drilling rigs 24 years signaling potential future supply reductions despite price drop analysts suggest global production remains viable even lower prices,negative,0.01,0.99,0.0
2015-01-04,2015-01-10,oil prices fell lowest levels since 2009 oversupply concerns strong us dollar drove brent wti crude sixth consecutive week investors watching upcoming us economic data market direction,negative,0.01,0.99,0.0
2015-01-05,2015-01-10,copper prices fell oneweek low stronger us dollar reduced demand commodities oil prices hit fiveyear low investors awaited key us economic data later week,negative,0.01,0.99,0.0
2015-01-06,2015-01-10,copper prices remained near lowest levels since 2010 concerns greeces potential euro zone exit strong us dollar weighed commodities oil prices also continued decline supply glut fears,negative,0.01,0.99,0.0
2015-01-07,2015-01-10,brent crude oil prices fell $ 50 barrel first time since 2009 due global supply glut weak demand signs production cuts opec growing fears deflation prices dropped 57 % since last june raising concerns declines economic impacts,negative,0.01,0.99,0.0
2015-01-08,2015-01-10,global oil prices stabilized fourday decline supported strong us jobs data hopes european stimulus traders remain cautious amid ongoing oversupply storage buildup major trading firms booking supertankers store excess crude signaling continued market uncertainty,negative,0.01,0.99,0.0
2015-01-09,2015-01-10,global oil prices fell lowest levels since april 2009 rebounding slightly baker hughes reported largest weekly drop us drilling rigs 24 years signaling potential future supply reductions despite price drop analysts suggest global production remains viable even lower prices,negative,0.01,0.99,0.0
2015-01-05,2015-01-11,copper prices fell oneweek low stronger us dollar reduced demand commodities oil prices hit fiveyear low investors awaited key us economic data later week,negative,0.01,0.99,0.0
2015-01-06,2015-01-11,copper prices remained near lowest levels since 2010 concerns greeces potential euro zone exit strong us dollar weighed commodities oil prices also continued decline supply glut fears,negative,0.01,0.99,0.0
2015-01-07,2015-01-11,brent crude oil prices fell $ 50 barrel first time since 2009 due global supply glut weak demand signs production cuts opec growing fears deflation prices dropped 57 % since last june raising concerns declines economic impacts,negative,0.01,0.99,0.0
2015-01-08,2015-01-11,global oil prices stabilized fourday decline supported strong us jobs data hopes european stimulus traders remain cautious amid ongoing oversupply storage buildup major trading firms booking supertankers store excess crude signaling continued market uncertainty,negative,0.01,0.99,0.0
2015-01-09,2015-01-11,global oil prices fell lowest levels since april 2009 rebounding slightly baker hughes reported largest weekly drop us drilling rigs 24 years signaling potential future supply reductions despite price drop analysts suggest global production remains viable even lower prices,negative,0.01,0.99,0.0
2015-01-11,2015-01-11,brent oil prices fell lowest level since 2009 due oversupply opecs decision maintain output us oil rig counts saw largest weekly drop since 1991 us wage growth unexpectedly declined,negative,0.01,0.99,0.0
2015-01-06,2015-01-12,copper prices remained near lowest levels since 2010 concerns greeces potential euro zone exit strong us dollar weighed commodities oil prices also continued decline supply glut fears,negative,0.01,0.99,0.0
2015-01-07,2015-01-12,brent crude oil prices fell $ 50 barrel first time since 2009 due global supply glut weak demand signs production cuts opec growing fears deflation prices dropped 57 % since last june raising concerns declines economic impacts,negative,0.01,0.99,0.0
2015-01-08,2015-01-12,global oil prices stabilized fourday decline supported strong us jobs data hopes european stimulus traders remain cautious amid ongoing oversupply storage buildup major trading firms booking supertankers store excess crude signaling continued market uncertainty,negative,0.01,0.99,0.0
2015-01-09,2015-01-12,global oil prices fell lowest levels since april 2009 rebounding slightly baker hughes reported largest weekly drop us drilling rigs 24 years signaling potential future supply reductions despite price drop analysts suggest global production remains viable even lower prices,negative,0.01,0.99,0.0
2015-01-11,2015-01-12,brent oil prices fell lowest level since 2009 due oversupply opecs decision maintain output us oil rig counts saw largest weekly drop since 1991 us wage growth unexpectedly declined,negative,0.01,0.99,0.0
2015-01-12,2015-01-12,gold prices edged lower asia crude oil copper also declined driven concerns global demand stronger us dollar copper hitting fiveyear low following weak chinese inflation data,negative,0.01,0.99,0.0
2015-01-07,2015-01-13,brent crude oil prices fell $ 50 barrel first time since 2009 due global supply glut weak demand signs production cuts opec growing fears deflation prices dropped 57 % since last june raising concerns declines economic impacts,negative,0.01,0.99,0.0
2015-01-08,2015-01-13,global oil prices stabilized fourday decline supported strong us jobs data hopes european stimulus traders remain cautious amid ongoing oversupply storage buildup major trading firms booking supertankers store excess crude signaling continued market uncertainty,negative,0.01,0.99,0.0
2015-01-09,2015-01-13,global oil prices fell lowest levels since april 2009 rebounding slightly baker hughes reported largest weekly drop us drilling rigs 24 years signaling potential future supply reductions despite price drop analysts suggest global production remains viable even lower prices,negative,0.01,0.99,0.0
2015-01-11,2015-01-13,brent oil prices fell lowest level since 2009 due oversupply opecs decision maintain output us oil rig counts saw largest weekly drop since 1991 us wage growth unexpectedly declined,negative,0.01,0.99,0.0
2015-01-12,2015-01-13,gold prices edged lower asia crude oil copper also declined driven concerns global demand stronger us dollar copper hitting fiveyear low following weak chinese inflation data,negative,0.01,0.99,0.0
2015-01-13,2015-01-13,crude oil prices fell amid rising us inventories sharp cut 2015 price forecasts goldman sachs ongoing concerns global oversupply weak demand brent wti futures declined traders awaited new us stockpile data opec showed signs reducing output,negative,0.01,0.99,0.0
2015-01-08,2015-01-14,global oil prices stabilized fourday decline supported strong us jobs data hopes european stimulus traders remain cautious amid ongoing oversupply storage buildup major trading firms booking supertankers store excess crude signaling continued market uncertainty,negative,0.01,0.99,0.0
2015-01-09,2015-01-14,global oil prices fell lowest levels since april 2009 rebounding slightly baker hughes reported largest weekly drop us drilling rigs 24 years signaling potential future supply reductions despite price drop analysts suggest global production remains viable even lower prices,negative,0.01,0.99,0.0
2015-01-11,2015-01-14,brent oil prices fell lowest level since 2009 due oversupply opecs decision maintain output us oil rig counts saw largest weekly drop since 1991 us wage growth unexpectedly declined,negative,0.01,0.99,0.0
2015-01-12,2015-01-14,gold prices edged lower asia crude oil copper also declined driven concerns global demand stronger us dollar copper hitting fiveyear low following weak chinese inflation data,negative,0.01,0.99,0.0
2015-01-13,2015-01-14,crude oil prices fell amid rising us inventories sharp cut 2015 price forecasts goldman sachs ongoing concerns global oversupply weak demand brent wti futures declined traders awaited new us stockpile data opec showed signs reducing output,negative,0.01,0.99,0.0
2015-01-14,2015-01-14,copper prices fell lowest level since 2009 due worries global economic growth weaker demand oil precious metals also declined investors awaited key us economic data,negative,0.01,0.99,0.0
2015-01-09,2015-01-15,global oil prices fell lowest levels since april 2009 rebounding slightly baker hughes reported largest weekly drop us drilling rigs 24 years signaling potential future supply reductions despite price drop analysts suggest global production remains viable even lower prices,negative,0.01,0.99,0.0
2015-01-11,2015-01-15,brent oil prices fell lowest level since 2009 due oversupply opecs decision maintain output us oil rig counts saw largest weekly drop since 1991 us wage growth unexpectedly declined,negative,0.01,0.99,0.0
2015-01-12,2015-01-15,gold prices edged lower asia crude oil copper also declined driven concerns global demand stronger us dollar copper hitting fiveyear low following weak chinese inflation data,negative,0.01,0.99,0.0
2015-01-13,2015-01-15,crude oil prices fell amid rising us inventories sharp cut 2015 price forecasts goldman sachs ongoing concerns global oversupply weak demand brent wti futures declined traders awaited new us stockpile data opec showed signs reducing output,negative,0.01,0.99,0.0
2015-01-14,2015-01-15,copper prices fell lowest level since 2009 due worries global economic growth weaker demand oil precious metals also declined investors awaited key us economic data,negative,0.01,0.99,0.0
2015-01-15,2015-01-15,gold silver prices fell asia amid stronger dollar expectations federal reserve rate hike copper slumped concerns global economic prospects demand mixed us economic data central bank actions influenced metals trading gold rallying swiss national bank cut rates negative territory,negative,0.01,0.99,0.0
2015-01-11,2015-01-16,brent oil prices fell lowest level since 2009 due oversupply opecs decision maintain output us oil rig counts saw largest weekly drop since 1991 us wage growth unexpectedly declined,negative,0.01,0.99,0.0
2015-01-12,2015-01-16,gold prices edged lower asia crude oil copper also declined driven concerns global demand stronger us dollar copper hitting fiveyear low following weak chinese inflation data,negative,0.01,0.99,0.0
2015-01-13,2015-01-16,crude oil prices fell amid rising us inventories sharp cut 2015 price forecasts goldman sachs ongoing concerns global oversupply weak demand brent wti futures declined traders awaited new us stockpile data opec showed signs reducing output,negative,0.01,0.99,0.0
2015-01-14,2015-01-16,copper prices fell lowest level since 2009 due worries global economic growth weaker demand oil precious metals also declined investors awaited key us economic data,negative,0.01,0.99,0.0
2015-01-15,2015-01-16,gold silver prices fell asia amid stronger dollar expectations federal reserve rate hike copper slumped concerns global economic prospects demand mixed us economic data central bank actions influenced metals trading gold rallying swiss national bank cut rates negative territory,negative,0.01,0.99,0.0
2015-01-16,2015-01-16,brent crude oil prices rose $ 49 barrel iea suggested potential market rebound later year though analysts warn oversupply weak demand may keep prices volatile prevent quick recovery,positive,0.99,0.01,0.0
2015-01-16,2015-01-16,gold prices edged lower remained close fourmonth high mixed us economic data swiss national banks policy shift supported metal silver copper saw minor changes,negative,0.01,0.99,0.0
2015-01-11,2015-01-17,brent oil prices fell lowest level since 2009 due oversupply opecs decision maintain output us oil rig counts saw largest weekly drop since 1991 us wage growth unexpectedly declined,negative,0.01,0.99,0.0
2015-01-12,2015-01-17,gold prices edged lower asia crude oil copper also declined driven concerns global demand stronger us dollar copper hitting fiveyear low following weak chinese inflation data,negative,0.01,0.99,0.0
2015-01-13,2015-01-17,crude oil prices fell amid rising us inventories sharp cut 2015 price forecasts goldman sachs ongoing concerns global oversupply weak demand brent wti futures declined traders awaited new us stockpile data opec showed signs reducing output,negative,0.01,0.99,0.0
2015-01-14,2015-01-17,copper prices fell lowest level since 2009 due worries global economic growth weaker demand oil precious metals also declined investors awaited key us economic data,negative,0.01,0.99,0.0
2015-01-15,2015-01-17,gold silver prices fell asia amid stronger dollar expectations federal reserve rate hike copper slumped concerns global economic prospects demand mixed us economic data central bank actions influenced metals trading gold rallying swiss national bank cut rates negative territory,negative,0.01,0.99,0.0
2015-01-16,2015-01-17,brent crude oil prices rose $ 49 barrel iea suggested potential market rebound later year though analysts warn oversupply weak demand may keep prices volatile prevent quick recovery,positive,0.99,0.01,0.0
2015-01-16,2015-01-17,gold prices edged lower remained close fourmonth high mixed us economic data swiss national banks policy shift supported metal silver copper saw minor changes,negative,0.01,0.99,0.0
2015-01-12,2015-01-18,gold prices edged lower asia crude oil copper also declined driven concerns global demand stronger us dollar copper hitting fiveyear low following weak chinese inflation data,negative,0.01,0.99,0.0
2015-01-13,2015-01-18,crude oil prices fell amid rising us inventories sharp cut 2015 price forecasts goldman sachs ongoing concerns global oversupply weak demand brent wti futures declined traders awaited new us stockpile data opec showed signs reducing output,negative,0.01,0.99,0.0
2015-01-14,2015-01-18,copper prices fell lowest level since 2009 due worries global economic growth weaker demand oil precious metals also declined investors awaited key us economic data,negative,0.01,0.99,0.0
2015-01-15,2015-01-18,gold silver prices fell asia amid stronger dollar expectations federal reserve rate hike copper slumped concerns global economic prospects demand mixed us economic data central bank actions influenced metals trading gold rallying swiss national bank cut rates negative territory,negative,0.01,0.99,0.0
2015-01-16,2015-01-18,brent crude oil prices rose $ 49 barrel iea suggested potential market rebound later year though analysts warn oversupply weak demand may keep prices volatile prevent quick recovery,positive,0.99,0.01,0.0
2015-01-16,2015-01-18,gold prices edged lower remained close fourmonth high mixed us economic data swiss national banks policy shift supported metal silver copper saw minor changes,negative,0.01,0.99,0.0
2015-01-18,2015-01-18,gold prices remained steady asia investors monitored weak global inflation central bank actions recent volatility driven swiss national banks policy shift expectations european central bank stimulus copper prices dipped ahead key chinese economic data releases,negative,0.01,0.99,0.0
2015-01-13,2015-01-19,crude oil prices fell amid rising us inventories sharp cut 2015 price forecasts goldman sachs ongoing concerns global oversupply weak demand brent wti futures declined traders awaited new us stockpile data opec showed signs reducing output,negative,0.01,0.99,0.0
2015-01-14,2015-01-19,copper prices fell lowest level since 2009 due worries global economic growth weaker demand oil precious metals also declined investors awaited key us economic data,negative,0.01,0.99,0.0
2015-01-15,2015-01-19,gold silver prices fell asia amid stronger dollar expectations federal reserve rate hike copper slumped concerns global economic prospects demand mixed us economic data central bank actions influenced metals trading gold rallying swiss national bank cut rates negative territory,negative,0.01,0.99,0.0
2015-01-16,2015-01-19,brent crude oil prices rose $ 49 barrel iea suggested potential market rebound later year though analysts warn oversupply weak demand may keep prices volatile prevent quick recovery,positive,0.99,0.01,0.0
2015-01-16,2015-01-19,gold prices edged lower remained close fourmonth high mixed us economic data swiss national banks policy shift supported metal silver copper saw minor changes,negative,0.01,0.99,0.0
2015-01-18,2015-01-19,gold prices remained steady asia investors monitored weak global inflation central bank actions recent volatility driven swiss national banks policy shift expectations european central bank stimulus copper prices dipped ahead key chinese economic data releases,negative,0.01,0.99,0.0
2015-01-19,2015-01-19,copper prices fell nearly 2 % investors awaited crucial chinese economic data light trading due us holiday ongoing concerns global monetary policy demand gold silver edged higher euro remained pressure amid expectations ecb stimulus,negative,0.01,0.99,0.0
2015-01-14,2015-01-20,copper prices fell lowest level since 2009 due worries global economic growth weaker demand oil precious metals also declined investors awaited key us economic data,negative,0.01,0.99,0.0
2015-01-15,2015-01-20,gold silver prices fell asia amid stronger dollar expectations federal reserve rate hike copper slumped concerns global economic prospects demand mixed us economic data central bank actions influenced metals trading gold rallying swiss national bank cut rates negative territory,negative,0.01,0.99,0.0
2015-01-16,2015-01-20,brent crude oil prices rose $ 49 barrel iea suggested potential market rebound later year though analysts warn oversupply weak demand may keep prices volatile prevent quick recovery,positive,0.99,0.01,0.0
2015-01-16,2015-01-20,gold prices edged lower remained close fourmonth high mixed us economic data swiss national banks policy shift supported metal silver copper saw minor changes,negative,0.01,0.99,0.0
2015-01-18,2015-01-20,gold prices remained steady asia investors monitored weak global inflation central bank actions recent volatility driven swiss national banks policy shift expectations european central bank stimulus copper prices dipped ahead key chinese economic data releases,negative,0.01,0.99,0.0
2015-01-19,2015-01-20,copper prices fell nearly 2 % investors awaited crucial chinese economic data light trading due us holiday ongoing concerns global monetary policy demand gold silver edged higher euro remained pressure amid expectations ecb stimulus,negative,0.01,0.99,0.0
2015-01-20,2015-01-20,copper prices dropped nearly 2 % data showed chinas economy grew slowest rate 24 years imf cut global growth forecast euro weakened ahead expected ecb stimulus move,negative,0.01,0.99,0.0
2015-01-15,2015-01-21,gold silver prices fell asia amid stronger dollar expectations federal reserve rate hike copper slumped concerns global economic prospects demand mixed us economic data central bank actions influenced metals trading gold rallying swiss national bank cut rates negative territory,negative,0.01,0.99,0.0
2015-01-16,2015-01-21,brent crude oil prices rose $ 49 barrel iea suggested potential market rebound later year though analysts warn oversupply weak demand may keep prices volatile prevent quick recovery,positive,0.99,0.01,0.0
2015-01-16,2015-01-21,gold prices edged lower remained close fourmonth high mixed us economic data swiss national banks policy shift supported metal silver copper saw minor changes,negative,0.01,0.99,0.0
2015-01-18,2015-01-21,gold prices remained steady asia investors monitored weak global inflation central bank actions recent volatility driven swiss national banks policy shift expectations european central bank stimulus copper prices dipped ahead key chinese economic data releases,negative,0.01,0.99,0.0
2015-01-19,2015-01-21,copper prices fell nearly 2 % investors awaited crucial chinese economic data light trading due us holiday ongoing concerns global monetary policy demand gold silver edged higher euro remained pressure amid expectations ecb stimulus,negative,0.01,0.99,0.0
2015-01-20,2015-01-21,copper prices dropped nearly 2 % data showed chinas economy grew slowest rate 24 years imf cut global growth forecast euro weakened ahead expected ecb stimulus move,negative,0.01,0.99,0.0
2015-01-21,2015-01-21,crude oil prices fell asia us industry data showed significant rise stockpiles intensifying concerns oversupply markets awaited inventory data european central banks policy decision oil prices dropped nearly 60 % since june due high output opec us,negative,0.01,0.99,0.0
2015-01-16,2015-01-22,brent crude oil prices rose $ 49 barrel iea suggested potential market rebound later year though analysts warn oversupply weak demand may keep prices volatile prevent quick recovery,positive,0.99,0.01,0.0
2015-01-16,2015-01-22,gold prices edged lower remained close fourmonth high mixed us economic data swiss national banks policy shift supported metal silver copper saw minor changes,negative,0.01,0.99,0.0
2015-01-18,2015-01-22,gold prices remained steady asia investors monitored weak global inflation central bank actions recent volatility driven swiss national banks policy shift expectations european central bank stimulus copper prices dipped ahead key chinese economic data releases,negative,0.01,0.99,0.0
2015-01-19,2015-01-22,copper prices fell nearly 2 % investors awaited crucial chinese economic data light trading due us holiday ongoing concerns global monetary policy demand gold silver edged higher euro remained pressure amid expectations ecb stimulus,negative,0.01,0.99,0.0
2015-01-20,2015-01-22,copper prices dropped nearly 2 % data showed chinas economy grew slowest rate 24 years imf cut global growth forecast euro weakened ahead expected ecb stimulus move,negative,0.01,0.99,0.0
2015-01-21,2015-01-22,crude oil prices fell asia us industry data showed significant rise stockpiles intensifying concerns oversupply markets awaited inventory data european central banks policy decision oil prices dropped nearly 60 % since june due high output opec us,negative,0.01,0.99,0.0
2015-01-22,2015-01-22,copper prices dropped nearly 1 % traders awaited european central banks expected bondbuying announcement concerns global economic growth demand continuing pressure metal gold silver also edged lower though remain significantly 2015 amid market volatility,negative,0.01,0.99,0.0
2015-01-18,2015-01-23,gold prices remained steady asia investors monitored weak global inflation central bank actions recent volatility driven swiss national banks policy shift expectations european central bank stimulus copper prices dipped ahead key chinese economic data releases,negative,0.01,0.99,0.0
2015-01-19,2015-01-23,copper prices fell nearly 2 % investors awaited crucial chinese economic data light trading due us holiday ongoing concerns global monetary policy demand gold silver edged higher euro remained pressure amid expectations ecb stimulus,negative,0.01,0.99,0.0
2015-01-20,2015-01-23,copper prices dropped nearly 2 % data showed chinas economy grew slowest rate 24 years imf cut global growth forecast euro weakened ahead expected ecb stimulus move,negative,0.01,0.99,0.0
2015-01-21,2015-01-23,crude oil prices fell asia us industry data showed significant rise stockpiles intensifying concerns oversupply markets awaited inventory data european central banks policy decision oil prices dropped nearly 60 % since june due high output opec us,negative,0.01,0.99,0.0
2015-01-22,2015-01-23,copper prices dropped nearly 1 % traders awaited european central banks expected bondbuying announcement concerns global economic growth demand continuing pressure metal gold silver also edged lower though remain significantly 2015 amid market volatility,negative,0.01,0.99,0.0
2015-01-23,2015-01-23,crude oil prices rose following death saudi arabias king abdullah gains capped persistent oversupply concerns stronger us dollar european central bank announced major stimulus program,positive,0.99,0.01,0.0
2015-01-23,2015-01-23,gold prices fell reaching fivemonth highs european central bank announced largerthanexpected € 108 trillion quantitative easing program combat eurozone deflation chinese manufacturing data showed slight improvement,negative,0.02,0.98,0.0
2015-01-18,2015-01-24,gold prices remained steady asia investors monitored weak global inflation central bank actions recent volatility driven swiss national banks policy shift expectations european central bank stimulus copper prices dipped ahead key chinese economic data releases,negative,0.01,0.99,0.0
2015-01-19,2015-01-24,copper prices fell nearly 2 % investors awaited crucial chinese economic data light trading due us holiday ongoing concerns global monetary policy demand gold silver edged higher euro remained pressure amid expectations ecb stimulus,negative,0.01,0.99,0.0
2015-01-20,2015-01-24,copper prices dropped nearly 2 % data showed chinas economy grew slowest rate 24 years imf cut global growth forecast euro weakened ahead expected ecb stimulus move,negative,0.01,0.99,0.0
2015-01-21,2015-01-24,crude oil prices fell asia us industry data showed significant rise stockpiles intensifying concerns oversupply markets awaited inventory data european central banks policy decision oil prices dropped nearly 60 % since june due high output opec us,negative,0.01,0.99,0.0
2015-01-22,2015-01-24,copper prices dropped nearly 1 % traders awaited european central banks expected bondbuying announcement concerns global economic growth demand continuing pressure metal gold silver also edged lower though remain significantly 2015 amid market volatility,negative,0.01,0.99,0.0
2015-01-23,2015-01-24,crude oil prices rose following death saudi arabias king abdullah gains capped persistent oversupply concerns stronger us dollar european central bank announced major stimulus program,positive,0.99,0.01,0.0
2015-01-23,2015-01-24,gold prices fell reaching fivemonth highs european central bank announced largerthanexpected € 108 trillion quantitative easing program combat eurozone deflation chinese manufacturing data showed slight improvement,negative,0.02,0.98,0.0
2015-01-19,2015-01-25,copper prices fell nearly 2 % investors awaited crucial chinese economic data light trading due us holiday ongoing concerns global monetary policy demand gold silver edged higher euro remained pressure amid expectations ecb stimulus,negative,0.01,0.99,0.0
2015-01-20,2015-01-25,copper prices dropped nearly 2 % data showed chinas economy grew slowest rate 24 years imf cut global growth forecast euro weakened ahead expected ecb stimulus move,negative,0.01,0.99,0.0
2015-01-21,2015-01-25,crude oil prices fell asia us industry data showed significant rise stockpiles intensifying concerns oversupply markets awaited inventory data european central banks policy decision oil prices dropped nearly 60 % since june due high output opec us,negative,0.01,0.99,0.0
2015-01-22,2015-01-25,copper prices dropped nearly 1 % traders awaited european central banks expected bondbuying announcement concerns global economic growth demand continuing pressure metal gold silver also edged lower though remain significantly 2015 amid market volatility,negative,0.01,0.99,0.0
