Date,Generated Headline,Classification,Positive,Negative,Neutral
20150115,oil prices fall demand concerns volatile dollar undermine recent rally,negative,0.01,0.99,0.0
20150115,opec sees us oil output growth slowing global prices plunge demand opec crude hits decade low,negative,0.22,0.78,0.0
20150115,us grain futures rebound multiweek lows investors seek bargains amid record supplies,positive,0.61,0.39,0.0
20150116,oil prices rebound fiveyear lows iea outlook swiss policy shift,positive,0.9,0.1,0.0
20150116,gold prices dip stay near fourmonth high amid mixed us data swiss rate move,negative,0.01,0.99,0.0
20150116,oil prices may fall slow recovery supply growth eases says iea,negative,0.01,0.99,0.0
20150116,brent crude rises $ 49 iea signals possible market rebound despite ongoing oversupply,positive,0.99,0.01,0.0
20150118,oil prices rebound iea cuts supply forecast gold surges amid currency turmoil,negative,0.12,0.88,0.0
20150118,gold surges fourmonth high swiss franc shock spurs safe demand,positive,0.99,0.01,0.0
20150118,gold prices steady investors eye global inflation central bank moves,neutral,0.0,0.01,0.98
20150118,us corn futures rebound hitting twomonth low soybeans wheat remain weak,positive,0.84,0.16,0.0
20150118,iran postpones saudi visit amid tensions oil production policy,positive,0.98,0.01,0.02
20150118,us natural gas futures fall milder weather eases demand outlook,negative,0.15,0.85,0.0
20150118,oil prices slide despite supply cuts market awaits signs recovery,negative,0.01,0.99,0.0
20150119,copper prices fluctuate markets await key chinese economic data,positive,0.66,0.33,0.01
20150119,copper prices drop ahead key chinese economic data,negative,0.01,0.99,0.0
20150119,oil prices fall global supply glut persists,negative,0.01,0.99,0.0
20150119,gold holds near fourmonth high investors await ecb decision chinese economic data,positive,0.71,0.03,0.25
20150119,gold prices edge lower investors await key china economic data ecb meeting,negative,0.02,0.98,0.0
20150119,gold holds near fourmonth high investors await ecb decision chinese economic data,positive,0.71,0.03,0.25
20150119,gold prices edge higher asia strong physical demand despite mixed china data,positive,0.99,0.01,0.0
20150119,iran says opec unlikely act oil prices slide vows resilience amid slump,negative,0.01,0.99,0.0
20150119,us natural gas prices drop sharply mild weather forecasts weigh demand,negative,0.01,0.99,0.0
20150119,oil prices slide china growth slows global supply glut deepens,negative,0.01,0.99,0.0
20150119,oil prices slide global supply glut china data weigh markets,negative,0.01,0.99,0.0
20150119,oil prices fall opec maintains output global supply glut persists,negative,0.01,0.99,0.0
20150119,brent crude falls $ 50 global economic worries record iraqi output weigh oil prices,negative,0.01,0.99,0.0
20150120,copper prices slide chinas economic growth hits 24year low,negative,0.02,0.98,0.0
20150120,gold nears $ 1300 investors eye ecb policy meeting global economic concerns,negative,0.37,0.63,0.0
20150120,gold prices steady investors await ecb decision greek election,neutral,0.0,0.01,0.99
20150120,gold hits fivemonth high investors eye ecb stimulus global economic uncertainty,positive,0.72,0.28,0.0
20150120,us natural gas prices plunge warmer weather forecasts dampen demand,negative,0.12,0.88,0.0
20150120,oil prices dip markets await us supply data imf cuts growth outlook,negative,0.01,0.99,0.0
20150120,oil prices plunge imf cuts global growth forecast iran warns declines,negative,0.01,0.99,0.0
20150120,wheat crisis looms iraq islamic state disrupts farming food security,positive,0.99,0.01,0.0
20150120,us soybean futures hit threemonth low amid weak china demand strong south american crop prospects,negative,0.07,0.93,0.0
20150120,oil prices plunge imf cuts global growth outlook china posts slowest expansion 24 years,negative,0.01,0.99,0.0
20150120,oil prices slide china growth slows imf cuts global outlook,negative,0.01,0.99,0.0
20150121,copper prices fall second day amid global growth concerns,negative,0.01,0.99,0.0
20150121,gold surges $ 1300 ecb stimulus hopes greek election uncertainty boost safe demand,positive,0.99,0.01,0.0
20150121,gold prices dip investors await ecb policy decision us housing data mixed,negative,0.02,0.98,0.0
20150121,gold holds $ 1300 mixed us housing data global economic concerns drive metals markets,negative,0.49,0.51,0.0
20150121,crude oil prices drop asia us stockpiles surge market awaits key data,negative,0.01,0.99,0.0
20150121,oil prices rebound slightly remain near multiyear lows amid global demand concerns,positive,0.97,0.03,0.0
20150121,oil prices rebound 1 % investors await ecb policy decision,positive,0.99,0.01,0.0
20150121,us natural gas prices rebound sharp decline investors eye cooler weather storage data,positive,0.96,0.04,0.0
20150121,us wheat futures rebound investors seek bargains recent lows,positive,0.93,0.06,0.0
20150122,copper prices fall ahead key european central bank meeting,negative,0.01,0.99,0.0
20150122,copper prices drop china manufacturing remains contraction ecb launches major stimulus,negative,0.01,0.99,0.0
20150122,gold prices dip investors await ecb policy decision book profits recent rally,negative,0.02,0.98,0.0
20150122,gold prices fluctuate ecb launches major stimulus markets await china manufacturing data,negative,0.04,0.95,0.0
20150122,gold prices fluctuate amid saudi succession ecb stimulus china manufacturing data,negative,0.33,0.66,0.0
20150122,gold rises ecb unveils major bondbuying program boost eurozone economy,positive,0.98,0.02,0.0
20150122,natural gas prices drop 5 % us storage data signals weak demand,negative,0.01,0.99,0.0
20150122,oil prices steady markets await china manufacturing data react us inventory surge,negative,0.16,0.84,0.0
20150122,crude oil prices surge asia saudi kings death amid global economic shifts,positive,0.99,0.01,0.0
20150122,crude oil prices jump asia saudi kings death amid market uncertainty,positive,0.99,0.01,0.0
20150122,oil prices fall markets await ecb decision us supply data,negative,0.01,0.99,0.0
20150122,king salman ascends saudi throne king abdullahs death amid regional turmoil,positive,0.78,0.22,0.0
20150122,un condemns attack libyas central bank benghazi urges inquiry amid peace talks,positive,0.84,0.15,0.01
20150122,us soybean corn wheat futures edge higher investors seek bargains recent lows,positive,0.98,0.02,0.0
20150122,us crude oil prices slide inventories surge beyond expectations,negative,0.36,0.64,0.0
20150122,oil prices slip ecb launches major stimulus dollar surges,negative,0.06,0.94,0.0
20150123,oil prices edge higher saudi kings death supply glut strong dollar limit gains,positive,0.98,0.02,0.0
20150123,gold prices retreat ecb unveils major quantitative easing program,negative,0.46,0.53,0.01
20150125,wti oil prices slide sharply amid rising us inventories stronger dollar,negative,0.01,0.99,0.0
20150125,gold slips stronger dollar spurs profittaking copper drops china growth concerns,negative,0.02,0.97,0.0
20150125,gold rises greek political shift spurs market uncertainty copper slumps global growth concerns,positive,0.98,0.02,0.0
20150125,us soybean futures hit threemonth low global supply concerns grow,negative,0.37,0.62,0.0
20150125,us natural gas futures surge 5 % forecasts frigid northeast weather,positive,0.97,0.03,0.0
20150125,crude oil prices slide greek political shift global economic concerns weigh markets,negative,0.01,0.99,0.0
20150126,copper prices hit fiveyear low amid greek election uncertainty global economic concerns,negative,0.01,0.99,0.0
20150126,gold silver copper prices fall greek election spurs market volatility,negative,0.01,0.99,0.0
20150126,gold drops 1 % greek election jitters ease syriza forms coalition government,negative,0.01,0.99,0.0
20150126,gold prices steady greek exit fears ease investors await fed meeting,neutral,0.01,0.01,0.98
20150126,us natural gas prices drop despite major northeast snowstorm forecast,negative,0.01,0.99,0.0
20150126,oil prices rise investors eye us stockpile data greek political uncertainty,positive,0.99,0.01,0.0
20150126,us soybean futures drop third session brazil crop prospects boost global supply outlook,negative,0.41,0.59,0.0
20150126,oil prices hit sixyear low amid greek election uncertainty global supply glut,negative,0.01,0.99,0.0
20150126,oil prices rebound opec comments greek election spurs market volatility,positive,0.98,0.02,0.0
20150127,copper prices fall chinese industrial profits plunge raising economic concerns,negative,0.07,0.93,0.0
20150127,gold holds near oneweek low investors await federal reserve meeting,negative,0.01,0.95,0.04
20150127,gold rises session highs weak us durable goods data fuels economic concerns,positive,0.81,0.18,0.0
20150127,gold prices dip investors await fed comments amid weak us durable goods data,negative,0.01,0.99,0.0
20150127,snowstorm drives us natural gas prices higher amid volatile trading,positive,0.99,0.01,0.0
20150127,crude oil prices slide asia us inventory surge weighs market,negative,0.02,0.98,0.0
20150127,us crude oil stocks surge prices edge higher amid mixed economic data,negative,0.0,1.0,0.0
20150127,oil prices edge higher investors weigh mixed us economic data,positive,0.99,0.01,0.0
20150127,us wheat futures hit 11week low amid global oversupply weak demand,negative,0.16,0.84,0.0
20150127,oil prices edge higher markets await us inventory data opec signals openness talks,positive,0.97,0.03,0.0
20150128,copper prices edge higher investors await fed policy decision,positive,0.99,0.01,0.0
20150128,gold edges lower investors await federal reserve policy decision,negative,0.42,0.58,0.0
20150128,gold prices dip asia fed signals continued path toward rate hike,negative,0.02,0.98,0.0
20150128,gold dips investors await federal reserve policy decision,negative,0.02,0.98,0.0
20150128,us natural gas prices drop mild weather outlook dampens demand,negative,0.01,0.99,0.0
20150128,crude oil prices edge asia amid record us inventories fed policy watch,positive,0.99,0.01,0.0
20150128,us wheat futures hit 11week low global supplies weigh prices,negative,0.05,0.95,0.0
20150128,oil prices slip traders await us supply data fed statement,negative,0.01,0.99,0.0
20150128,us crude oil inventories hit highest level since 1982 pushing prices lower,negative,0.01,0.99,0.0
20150129,copper prices near sixyear low amid fed rate hike signals greek debt concerns,negative,0.01,0.99,0.0
20150129,oil prices rebound amid volatile trading supply glut concerns persist,positive,0.99,0.01,0.0
20150129,gold drops oneweek low strong us jobs data fuels rate hike expectations,negative,0.01,0.98,0.0
20150129,gold prices fall fed signals confidence us economy,negative,0.01,0.99,0.0
20150129,gold prices edge higher asia chinese new year demand weaker dollar,positive,0.97,0.03,0.0
20150129,us natural gas futures hit 28month low storage drop lags forecasts,negative,0.37,0.63,0.0
20150129,oil prices edge higher amid volatile trading global supply glut concerns,positive,0.99,0.01,0.0
20150129,us grain futures slide multimonth lows amid ample global supplies weak demand,negative,0.19,0.81,0.0
20150129,us oil prices near sixyear low inventories hit record highs,negative,0.05,0.95,0.0
20150130,crude oil futures rebound 1 % amid weaker dollar remain near sixyear lows,positive,0.98,0.02,0.0
20150130,gold prices rebound hitting twoweek lows amid us economic data,positive,0.99,0.01,0.0
20150130,opec oil output rises january key members maintain market share strategy,negative,0.0,1.0,0.0
20150131,plunging oil prices stall billiondollar gastoliquids projects,negative,0.01,0.99,0.0
20150201,copper prices steady despite weak chinese manufacturing data gold rises silver slips,neutral,0.01,0.0,0.99
20150201,copper prices slide china manufacturing data signals contraction,negative,0.01,0.99,0.0
20150201,oil prices surge 8 % biggest oneday rally since 2012 us production slows,positive,0.99,0.01,0.0
20150201,gold surges us economic growth slows investors seek safe havens,positive,0.76,0.24,0.0
20150201,us wheat soybean prices hit threemonth lows amid ample global supplies,negative,0.06,0.94,0.0
20150201,us natural gas futures hit 28month low amid mild winter ample supply,negative,0.03,0.97,0.0
20150201,oil prices drop china manufacturing slumps global supply glut persists,negative,0.01,0.99,0.0
20150201,oil prices drop china manufacturing slows global supply glut persists,negative,0.01,0.99,0.0
20150202,copper prices dip china manufacturing contracts global demand concerns rise,negative,0.05,0.95,0.0
20150202,oil prices slide global economic concerns weigh demand outlook,negative,0.01,0.99,0.0
20150202,oil prices slip weak us china manufacturing data raise economic concerns,negative,0.01,0.99,0.0
20150202,gold prices fluctuate amid uncertainty us rate hike greek debt crisis,positive,0.58,0.42,0.0
20150202,gold prices steady investors eye chinese new year demand us spending data,neutral,0.0,0.0,0.99
20150202,gold slips despite drop us personal spending copper rises china data disappoints,negative,0.05,0.95,0.0
20150202,us natural gas prices hit 28month low amid mild winter ample supply,negative,0.01,0.99,0.0
20150202,oil prices rebound asia ahead key us stockpile data,positive,0.99,0.01,0.0
20150202,us wheat corn soybean prices slide ample global supplies weaker demand,negative,0.01,0.99,0.0
20150203,brent oil hits onemonth high production cuts spark price rally,negative,0.35,0.64,0.0
20150203,copper prices reach oneweek high oil rally global markets boost sentiment,positive,0.99,0.01,0.0
20150203,oil prices surge us rig count sees sharpest drop decades,positive,0.99,0.01,0.0
20150203,gold rises investors await key us economic data jobs report,positive,0.98,0.02,0.0
20150203,gold prices rise asia chinese new year demand us economic uncertainty,positive,0.99,0.01,0.0
20150203,gold prices fall hopes rise greek bailout compromise,negative,0.01,0.99,0.0
20150203,us natural gas prices fall 28month low amid warmer weather forecasts,negative,0.01,0.99,0.0
20150203,oil prices climb despite rising us stockpiles production cuts fuel rally,positive,0.99,0.01,0.0
20150203,us wheat corn soybean futures rebound hitting multimonth lows,positive,0.97,0.03,0.0
20150204,copper prices retreat twoweek high amid china stimulus speculation,negative,0.01,0.99,0.0
20150204,oil prices dip investors take profits sharp rally,negative,0.02,0.98,0.0
20150204,federal government achieves record low energy use amid efficiency push,negative,0.43,0.57,0.0
20150204,gold rises us jobs data disappoints china cuts bank reserve ratios,negative,0.21,0.79,0.0
20150204,gold prices rise greece debt concerns chinese policy shift boost safehaven demand,positive,0.99,0.01,0.0
20150204,gold rises investors monitor greek debt talks await key us jobs data,negative,0.47,0.52,0.01
20150204,us natural gas prices fall mild weather eases demand outlook,negative,0.01,0.99,0.0
20150204,oil prices rebound asia china cuts bank reserve requirements boost demand,positive,0.92,0.08,0.0
20150204,us wheat futures climb oneweek high amid shortcovering rally,positive,0.98,0.02,0.0
20150204,us crude oil prices plunge inventories hit record highs,negative,0.06,0.93,0.0
20150205,copper prices slide china stimulus fails offset greek debt uncertainty,negative,0.01,0.98,0.0
20150205,oil prices rebound sharp drop investors seek bargains amid supply glut,positive,0.61,0.39,0.0
20150205,venezuelas pdvsa halts algerian crude imports amid technical pricing disputes,negative,0.01,0.99,0.0
20150205,gold rises investors eye greek debt crisis await us jobs data,positive,0.53,0.47,0.0
20150205,gold prices steady investors await us jobs data monitor greek debt talks,neutral,0.0,0.0,0.99
20150205,gold edges lower investors weigh mixed us data greek debt concerns,negative,0.03,0.97,0.0
20150205,natural gas prices hit 32month low us storage declines less expected,negative,0.02,0.98,0.0
20150205,oil prices rebound asia markets eye us jobs data greek debt talks,positive,0.98,0.02,0.0
20150205,oil prices rebound amid supply glut concerns global economic uncertainty,positive,0.99,0.01,0.0
20150205,weaker dollar lifts us corn wheat soybean futures despite ongoing supply concerns,positive,0.66,0.34,0.0
20150205,oil prices slide us crude inventories hit record highs greek debt worries weigh markets,negative,0.07,0.93,0.0
20150206,oil prices rebound 3 % investors eye us jobs data supply cuts,positive,0.74,0.26,0.0
20150206,gold prices rise ahead key us jobs report amid ongoing greece concerns,positive,0.99,0.01,0.0
20150208,oil prices surge investors bet recovery amid production cuts strong us jobs data,positive,0.98,0.02,0.0
20150208,gold prices plunge strong us jobs data fuels rate hike expectations,negative,0.1,0.9,0.0
20150208,gold rebounds copper falls weak china trade data markets eye greece us economic signals,negative,0.04,0.96,0.0
20150208,us corn wheat futures climb weekly gains soybeans edge higher despite global supply concerns,positive,0.98,0.02,0.0
20150208,us natural gas prices hit 32month low amid ample supply weak demand outlook,negative,0.02,0.98,0.0
20150208,oil prices rise hopes chinese stimulus supply cuts amid global economic uncertainty,positive,0.98,0.02,0.0
20150209,copper prices slip weak chinese trade data fuels stimulus speculation,negative,0.01,0.99,0.0
20150209,oil prices climb opec cuts supply growth forecast us drilling slows,negative,0.17,0.83,0.0
20150209,gold prices edge lower amid weak china data greek uncertainty,negative,0.01,0.99,0.0
20150209,gold rises greek debt worries persist dollar strengthens robust us jobs data,positive,0.98,0.02,0.0
20150209,gold prices dip ahead china inflation data greek debt uncertainty,negative,0.01,0.99,0.0
20150209,gold edges higher greek debt worries us jobs data weigh markets,positive,0.86,0.14,0.0
20150209,us natural gas prices rebound northeast snowstorm forecasts,positive,0.98,0.01,0.0
20150209,oil prices dip ahead us supply data china inflation report,negative,0.01,0.99,0.0
20150209,crude oil prices dip asia weak chinese data despite hopes beijing stimulus,negative,0.01,0.99,0.0
20150209,oil prices surge us production slows opec cuts supply forecasts,negative,0.43,0.56,0.0
20150209,us wheat corn soybean futures slip ahead key usda report,negative,0.28,0.72,0.0
20150209,oil prices surge hopes production cuts despite ongoing global supply glut,positive,0.99,0.01,0.0
20150210,copper prices slip china inflation hits fiveyear low raising economic concerns,negative,0.02,0.98,0.0
20150210,crude oil prices fall iea report highlights supply glut demand concerns,negative,0.01,0.99,0.0
20150210,gold slips greece debt extension rumors fed rate hike expectations weigh metals,negative,0.39,0.61,0.0
20150210,gold edges higher amid greek debt uncertainty fed rate hike concerns,positive,0.99,0.01,0.0
20150210,gold prices steady greece approves economic plan china data awaited,neutral,0.0,0.0,1.0
20150210,us natural gas prices climb cold weather forecasts increased heating demand,positive,0.99,0.01,0.0
20150210,oil prices edge higher asia amid rising us inventories global market uncertainty,positive,0.99,0.01,0.0
20150210,oil prices slide greece debt talks supply concerns weigh markets,negative,0.01,0.99,0.0
20150210,us corn futures hold near threeweek high ahead usda report,positive,0.59,0.37,0.04
20150211,copper prices edge higher amid greek bailout talks china easing speculation,positive,0.99,0.01,0.0
20150211,gold prices dip greece crisis fed rate hike expectations weigh markets,negative,0.01,0.99,0.0
20150211,gold rises investors eye eurogroup meeting amid greek bailout uncertainty,positive,0.98,0.02,0.0
20150211,gold edges higher greece seeks bailout solution amid eurozone talks,positive,0.99,0.01,0.0
20150211,us natural gas prices surge cold weather rising demand expectations,positive,0.99,0.01,0.0
20150211,oil prices slide us stockpiles hit record highs greece crisis weighs markets,negative,0.02,0.98,0.0
20150211,oil prices slip amid supply glut uncertainty greeces eurozone future,negative,0.01,0.99,0.0
20150211,us wheat futures fall usda raises supply outlook corn soybean stocks mixed,positive,1.0,0.0,0.0
20150211,us oil prices slide recordhigh inventories deepen supply glut fears,negative,0.01,0.99,0.0
20150211,oil prices rebound markets await us supply data monitor greece debt talks,negative,0.41,0.58,0.0
20150212,copper prices surge russiaukraine ceasefire hopes dollar weakness,positive,0.99,0.01,0.0
20150212,gold rebounds fiveweek low greeceeu talks stall dollar eases,negative,0.17,0.83,0.0
20150212,gold rises weak us retail sales jobless claims weigh dollar,negative,0.44,0.56,0.0
20150212,gold prices rise asia amid chinese new year demand weak us economic data,positive,0.99,0.01,0.0
20150212,natural gas prices slide us storage draw falls short expectations,negative,0.01,0.99,0.0
20150212,oil prices edge lower amid volatile trading ukraine ceasefire greek bailout uncertainty,negative,0.01,0.99,0.0
20150212,oil prices rebound investors seek bargains sharp decline,positive,0.96,0.04,0.0
20150212,us grain futures edge higher usda reports ample global supplies mixed demand outlook,negative,0.12,0.88,0.0
20150212,oil prices surge weaker dollar ukraine ceasefire boost investor confidence,positive,0.99,0.01,0.0
20150213,chinas pork prices dip ahead new year analysts predict rebound later 2015,negative,0.01,0.99,0.0
20150213,oil prices climb 1 % weak us data pressures dollar,positive,0.99,0.01,0.0
20150213,gold prices rise weak us data pressures dollar investors await economic reports,positive,0.99,0.01,0.0
20150213,valentines day chocolate prices rise amid global cocoa market turbulence,positive,0.99,0.01,0.0
20150215,oil prices surge production cuts weaker dollar boost market recovery,positive,0.88,0.12,0.0
20150215,gold rises weaker dollar greek uncertainty boost safehaven demand,positive,0.99,0.01,0.0
20150215,gold prices dip greece debt talks loom us markets close,negative,0.01,0.99,0.0
20150215,us soybean futures climb twoweek high strong demand wheat corn also advance,positive,0.99,0.01,0.0
20150215,us natural gas futures surge cold weather forecasts rising demand,positive,0.9,0.1,0.0
20150215,oil prices rise amid ukraine ceasefire hopes us rig decline,positive,0.99,0.01,0.0
20150216,copper prices fall greeceeu bailout talks loom japan recovery disappoints,negative,0.01,0.99,0.0
20150216,oil prices fluctuate amid light trading global supply glut ongoing economic uncertainty,negative,0.05,0.94,0.0
