Date,Date Group,Generated Headline,Classification,Positive,Negative,Neutral
2015-01-22,2015-01-22,copper prices fall ahead key european central bank meeting,negative,0.01,0.99,0.0
2015-01-18,2015-01-23,oil prices slide despite supply cuts market awaits signs recovery,negative,0.01,0.99,0.0
2015-01-18,2015-01-23,gold surges fourmonth high swiss franc shock spurs safe demand,positive,0.99,0.01,0.0
2015-01-19,2015-01-23,copper prices drop ahead key chinese economic data,negative,0.01,0.99,0.0
2015-01-20,2015-01-23,oil prices dip markets await us supply data imf cuts growth outlook,negative,0.01,0.99,0.0
2015-01-21,2015-01-23,gold surges $ 1300 ecb stimulus hopes greek election uncertainty boost safe demand,positive,0.99,0.01,0.0
2015-01-22,2015-01-23,copper prices fall ahead key european central bank meeting,negative,0.01,0.99,0.0
2015-01-23,2015-01-23,oil prices edge higher saudi kings death supply glut strong dollar limit gains,positive,0.98,0.02,0.0
2015-01-23,2015-01-23,gold prices retreat ecb unveils major quantitative easing program,negative,0.46,0.53,0.01
2015-01-18,2015-01-24,oil prices slide despite supply cuts market awaits signs recovery,negative,0.01,0.99,0.0
2015-01-18,2015-01-24,gold surges fourmonth high swiss franc shock spurs safe demand,positive,0.99,0.01,0.0
2015-01-19,2015-01-24,copper prices drop ahead key chinese economic data,negative,0.01,0.99,0.0
2015-01-20,2015-01-24,oil prices dip markets await us supply data imf cuts growth outlook,negative,0.01,0.99,0.0
2015-01-21,2015-01-24,gold surges $ 1300 ecb stimulus hopes greek election uncertainty boost safe demand,positive,0.99,0.01,0.0
2015-01-22,2015-01-24,copper prices fall ahead key european central bank meeting,negative,0.01,0.99,0.0
2015-01-23,2015-01-24,oil prices edge higher saudi kings death supply glut strong dollar limit gains,positive,0.98,0.02,0.0
2015-01-23,2015-01-24,gold prices retreat ecb unveils major quantitative easing program,negative,0.46,0.53,0.01
2015-01-19,2015-01-25,copper prices drop ahead key chinese economic data,negative,0.01,0.99,0.0
2015-01-20,2015-01-25,oil prices dip markets await us supply data imf cuts growth outlook,negative,0.01,0.99,0.0
2015-01-21,2015-01-25,gold surges $ 1300 ecb stimulus hopes greek election uncertainty boost safe demand,positive,0.99,0.01,0.0
2015-01-22,2015-01-25,copper prices fall ahead key european central bank meeting,negative,0.01,0.99,0.0
2015-01-23,2015-01-25,oil prices edge higher saudi kings death supply glut strong dollar limit gains,positive,0.98,0.02,0.0
2015-01-23,2015-01-25,gold prices retreat ecb unveils major quantitative easing program,negative,0.46,0.53,0.01
2015-01-25,2015-01-25,wti oil prices slide sharply amid rising us inventories stronger dollar,negative,0.01,0.99,0.0
2015-01-20,2015-01-26,oil prices dip markets await us supply data imf cuts growth outlook,negative,0.01,0.99,0.0
2015-01-21,2015-01-26,gold surges $ 1300 ecb stimulus hopes greek election uncertainty boost safe demand,positive,0.99,0.01,0.0
2015-01-22,2015-01-26,copper prices fall ahead key european central bank meeting,negative,0.01,0.99,0.0
2015-01-23,2015-01-26,oil prices edge higher saudi kings death supply glut strong dollar limit gains,positive,0.98,0.02,0.0
2015-01-23,2015-01-26,gold prices retreat ecb unveils major quantitative easing program,negative,0.46,0.53,0.01
2015-01-25,2015-01-26,wti oil prices slide sharply amid rising us inventories stronger dollar,negative,0.01,0.99,0.0
2015-01-26,2015-01-26,copper prices hit fiveyear low amid greek election uncertainty global economic concerns,negative,0.01,0.99,0.0
2015-01-21,2015-01-27,gold surges $ 1300 ecb stimulus hopes greek election uncertainty boost safe demand,positive,0.99,0.01,0.0
2015-01-22,2015-01-27,copper prices fall ahead key european central bank meeting,negative,0.01,0.99,0.0
2015-01-23,2015-01-27,oil prices edge higher saudi kings death supply glut strong dollar limit gains,positive,0.98,0.02,0.0
2015-01-23,2015-01-27,gold prices retreat ecb unveils major quantitative easing program,negative,0.46,0.53,0.01
2015-01-25,2015-01-27,wti oil prices slide sharply amid rising us inventories stronger dollar,negative,0.01,0.99,0.0
2015-01-26,2015-01-27,copper prices hit fiveyear low amid greek election uncertainty global economic concerns,negative,0.01,0.99,0.0
2015-01-27,2015-01-27,us crude oil stocks surge prices edge higher amid mixed economic data,negative,0.0,1.0,0.0
2015-01-22,2015-01-28,copper prices fall ahead key european central bank meeting,negative,0.01,0.99,0.0
2015-01-23,2015-01-28,oil prices edge higher saudi kings death supply glut strong dollar limit gains,positive,0.98,0.02,0.0
2015-01-23,2015-01-28,gold prices retreat ecb unveils major quantitative easing program,negative,0.46,0.53,0.01
2015-01-25,2015-01-28,wti oil prices slide sharply amid rising us inventories stronger dollar,negative,0.01,0.99,0.0
2015-01-26,2015-01-28,copper prices hit fiveyear low amid greek election uncertainty global economic concerns,negative,0.01,0.99,0.0
2015-01-27,2015-01-28,us crude oil stocks surge prices edge higher amid mixed economic data,negative,0.0,1.0,0.0
2015-01-28,2015-01-28,us natural gas prices drop mild weather outlook dampens demand,negative,0.01,0.99,0.0
2015-01-23,2015-01-29,oil prices edge higher saudi kings death supply glut strong dollar limit gains,positive,0.98,0.02,0.0
2015-01-23,2015-01-29,gold prices retreat ecb unveils major quantitative easing program,negative,0.46,0.53,0.01
2015-01-25,2015-01-29,wti oil prices slide sharply amid rising us inventories stronger dollar,negative,0.01,0.99,0.0
2015-01-26,2015-01-29,copper prices hit fiveyear low amid greek election uncertainty global economic concerns,negative,0.01,0.99,0.0
2015-01-27,2015-01-29,us crude oil stocks surge prices edge higher amid mixed economic data,negative,0.0,1.0,0.0
2015-01-28,2015-01-29,us natural gas prices drop mild weather outlook dampens demand,negative,0.01,0.99,0.0
2015-01-29,2015-01-29,copper prices near sixyear low amid fed rate hike signals greek debt concerns,negative,0.01,0.99,0.0
2015-01-25,2015-01-30,wti oil prices slide sharply amid rising us inventories stronger dollar,negative,0.01,0.99,0.0
2015-01-26,2015-01-30,copper prices hit fiveyear low amid greek election uncertainty global economic concerns,negative,0.01,0.99,0.0
2015-01-27,2015-01-30,us crude oil stocks surge prices edge higher amid mixed economic data,negative,0.0,1.0,0.0
2015-01-28,2015-01-30,us natural gas prices drop mild weather outlook dampens demand,negative,0.01,0.99,0.0
2015-01-29,2015-01-30,copper prices near sixyear low amid fed rate hike signals greek debt concerns,negative,0.01,0.99,0.0
2015-01-30,2015-01-30,gold prices rebound hitting twoweek lows amid us economic data,positive,0.99,0.01,0.0
2015-01-25,2015-01-31,wti oil prices slide sharply amid rising us inventories stronger dollar,negative,0.01,0.99,0.0
2015-01-26,2015-01-31,copper prices hit fiveyear low amid greek election uncertainty global economic concerns,negative,0.01,0.99,0.0
2015-01-27,2015-01-31,us crude oil stocks surge prices edge higher amid mixed economic data,negative,0.0,1.0,0.0
2015-01-28,2015-01-31,us natural gas prices drop mild weather outlook dampens demand,negative,0.01,0.99,0.0
2015-01-29,2015-01-31,copper prices near sixyear low amid fed rate hike signals greek debt concerns,negative,0.01,0.99,0.0
2015-01-30,2015-01-31,gold prices rebound hitting twoweek lows amid us economic data,positive,0.99,0.01,0.0
2015-01-31,2015-01-31,plunging oil prices stall billiondollar gastoliquids projects,negative,0.01,0.99,0.0
2015-01-26,2015-02-01,copper prices hit fiveyear low amid greek election uncertainty global economic concerns,negative,0.01,0.99,0.0
2015-01-27,2015-02-01,us crude oil stocks surge prices edge higher amid mixed economic data,negative,0.0,1.0,0.0
2015-01-28,2015-02-01,us natural gas prices drop mild weather outlook dampens demand,negative,0.01,0.99,0.0
2015-01-29,2015-02-01,copper prices near sixyear low amid fed rate hike signals greek debt concerns,negative,0.01,0.99,0.0
2015-01-30,2015-02-01,gold prices rebound hitting twoweek lows amid us economic data,positive,0.99,0.01,0.0
2015-01-31,2015-02-01,plunging oil prices stall billiondollar gastoliquids projects,negative,0.01,0.99,0.0
2015-02-01,2015-02-01,copper prices slide china manufacturing data signals contraction,negative,0.01,0.99,0.0
2015-01-27,2015-02-02,us crude oil stocks surge prices edge higher amid mixed economic data,negative,0.0,1.0,0.0
2015-01-28,2015-02-02,us natural gas prices drop mild weather outlook dampens demand,negative,0.01,0.99,0.0
2015-01-29,2015-02-02,copper prices near sixyear low amid fed rate hike signals greek debt concerns,negative,0.01,0.99,0.0
2015-01-30,2015-02-02,gold prices rebound hitting twoweek lows amid us economic data,positive,0.99,0.01,0.0
2015-01-31,2015-02-02,plunging oil prices stall billiondollar gastoliquids projects,negative,0.01,0.99,0.0
2015-02-01,2015-02-02,copper prices slide china manufacturing data signals contraction,negative,0.01,0.99,0.0
2015-02-02,2015-02-02,oil prices slide global economic concerns weigh demand outlook,negative,0.01,0.99,0.0
2015-01-28,2015-02-03,us natural gas prices drop mild weather outlook dampens demand,negative,0.01,0.99,0.0
2015-01-29,2015-02-03,copper prices near sixyear low amid fed rate hike signals greek debt concerns,negative,0.01,0.99,0.0
2015-01-30,2015-02-03,gold prices rebound hitting twoweek lows amid us economic data,positive,0.99,0.01,0.0
2015-01-31,2015-02-03,plunging oil prices stall billiondollar gastoliquids projects,negative,0.01,0.99,0.0
2015-02-01,2015-02-03,copper prices slide china manufacturing data signals contraction,negative,0.01,0.99,0.0
2015-02-02,2015-02-03,oil prices slide global economic concerns weigh demand outlook,negative,0.01,0.99,0.0
2015-02-03,2015-02-03,copper prices reach oneweek high oil rally global markets boost sentiment,positive,0.99,0.01,0.0
2015-01-29,2015-02-04,copper prices near sixyear low amid fed rate hike signals greek debt concerns,negative,0.01,0.99,0.0
2015-01-30,2015-02-04,gold prices rebound hitting twoweek lows amid us economic data,positive,0.99,0.01,0.0
2015-01-31,2015-02-04,plunging oil prices stall billiondollar gastoliquids projects,negative,0.01,0.99,0.0
2015-02-01,2015-02-04,copper prices slide china manufacturing data signals contraction,negative,0.01,0.99,0.0
2015-02-02,2015-02-04,oil prices slide global economic concerns weigh demand outlook,negative,0.01,0.99,0.0
2015-02-03,2015-02-04,copper prices reach oneweek high oil rally global markets boost sentiment,positive,0.99,0.01,0.0
2015-02-04,2015-02-04,copper prices retreat twoweek high amid china stimulus speculation,negative,0.01,0.99,0.0
2015-01-30,2015-02-05,gold prices rebound hitting twoweek lows amid us economic data,positive,0.99,0.01,0.0
2015-01-31,2015-02-05,plunging oil prices stall billiondollar gastoliquids projects,negative,0.01,0.99,0.0
2015-02-01,2015-02-05,copper prices slide china manufacturing data signals contraction,negative,0.01,0.99,0.0
2015-02-02,2015-02-05,oil prices slide global economic concerns weigh demand outlook,negative,0.01,0.99,0.0
2015-02-03,2015-02-05,copper prices reach oneweek high oil rally global markets boost sentiment,positive,0.99,0.01,0.0
2015-02-04,2015-02-05,copper prices retreat twoweek high amid china stimulus speculation,negative,0.01,0.99,0.0
2015-02-05,2015-02-05,venezuelas pdvsa halts algerian crude imports amid technical pricing disputes,negative,0.01,0.99,0.0
2015-02-05,2015-02-05,oil prices rebound amid supply glut concerns global economic uncertainty,positive,0.99,0.01,0.0
2015-01-31,2015-02-06,plunging oil prices stall billiondollar gastoliquids projects,negative,0.01,0.99,0.0
2015-02-01,2015-02-06,copper prices slide china manufacturing data signals contraction,negative,0.01,0.99,0.0
2015-02-02,2015-02-06,oil prices slide global economic concerns weigh demand outlook,negative,0.01,0.99,0.0
2015-02-03,2015-02-06,copper prices reach oneweek high oil rally global markets boost sentiment,positive,0.99,0.01,0.0
2015-02-04,2015-02-06,copper prices retreat twoweek high amid china stimulus speculation,negative,0.01,0.99,0.0
2015-02-05,2015-02-06,venezuelas pdvsa halts algerian crude imports amid technical pricing disputes,negative,0.01,0.99,0.0
2015-02-05,2015-02-06,oil prices rebound amid supply glut concerns global economic uncertainty,positive,0.99,0.01,0.0
2015-02-06,2015-02-06,gold prices rise ahead key us jobs report amid ongoing greece concerns,positive,0.99,0.01,0.0
2015-02-01,2015-02-07,copper prices slide china manufacturing data signals contraction,negative,0.01,0.99,0.0
2015-02-02,2015-02-07,oil prices slide global economic concerns weigh demand outlook,negative,0.01,0.99,0.0
2015-02-03,2015-02-07,copper prices reach oneweek high oil rally global markets boost sentiment,positive,0.99,0.01,0.0
2015-02-04,2015-02-07,copper prices retreat twoweek high amid china stimulus speculation,negative,0.01,0.99,0.0
2015-02-05,2015-02-07,venezuelas pdvsa halts algerian crude imports amid technical pricing disputes,negative,0.01,0.99,0.0
2015-02-05,2015-02-07,oil prices rebound amid supply glut concerns global economic uncertainty,positive,0.99,0.01,0.0
2015-02-06,2015-02-07,gold prices rise ahead key us jobs report amid ongoing greece concerns,positive,0.99,0.01,0.0
2015-02-02,2015-02-08,oil prices slide global economic concerns weigh demand outlook,negative,0.01,0.99,0.0
2015-02-03,2015-02-08,copper prices reach oneweek high oil rally global markets boost sentiment,positive,0.99,0.01,0.0
2015-02-04,2015-02-08,copper prices retreat twoweek high amid china stimulus speculation,negative,0.01,0.99,0.0
2015-02-05,2015-02-08,venezuelas pdvsa halts algerian crude imports amid technical pricing disputes,negative,0.01,0.99,0.0
2015-02-05,2015-02-08,oil prices rebound amid supply glut concerns global economic uncertainty,positive,0.99,0.01,0.0
2015-02-06,2015-02-08,gold prices rise ahead key us jobs report amid ongoing greece concerns,positive,0.99,0.01,0.0
