Date,Date Group,Keywords,Classification,Positive,Negative,Neutral
2015-01-22,2015-01-26,crude oil saudi arabia inventories china pmi ecb stimulus,negative,0.01,0.99,0.0
2015-01-23,2015-01-26,crude oil saudi arabia supply glut ecb stimulus us dollar,negative,0.01,0.98,0.0
2015-01-25,2015-01-26,crude oil greece austerity inventories ecb,negative,0.01,0.99,0.0
2015-01-26,2015-01-26,gold greece syriza euro commodities,negative,0.02,0.98,0.0
2015-01-21,2015-01-27,crude oil stockpiles api brent ecb,negative,0.01,0.99,0.0
2015-01-22,2015-01-27,crude oil saudi arabia inventories china pmi ecb stimulus,negative,0.01,0.99,0.0
2015-01-23,2015-01-27,crude oil saudi arabia supply glut ecb stimulus us dollar,negative,0.01,0.98,0.0
2015-01-25,2015-01-27,crude oil greece austerity inventories ecb,negative,0.01,0.99,0.0
2015-01-26,2015-01-27,gold greece syriza euro commodities,negative,0.02,0.98,0.0
2015-01-27,2015-01-27,gold durable goods us economy federal reserve commodities,negative,0.03,0.97,0.0
2015-01-22,2015-01-28,crude oil saudi arabia inventories china pmi ecb stimulus,negative,0.01,0.99,0.0
2015-01-23,2015-01-28,crude oil saudi arabia supply glut ecb stimulus us dollar,negative,0.01,0.98,0.0
2015-01-25,2015-01-28,crude oil greece austerity inventories ecb,negative,0.01,0.99,0.0
2015-01-26,2015-01-28,gold greece syriza euro commodities,negative,0.02,0.98,0.0
2015-01-27,2015-01-28,gold durable goods us economy federal reserve commodities,negative,0.03,0.97,0.0
2015-01-28,2015-01-28,oil futures crude inventories us dollar opec brent,negative,0.01,0.99,0.0
2015-01-23,2015-01-29,crude oil saudi arabia supply glut ecb stimulus us dollar,negative,0.01,0.98,0.0
2015-01-25,2015-01-29,crude oil greece austerity inventories ecb,negative,0.01,0.99,0.0
2015-01-26,2015-01-29,gold greece syriza euro commodities,negative,0.02,0.98,0.0
2015-01-27,2015-01-29,gold durable goods us economy federal reserve commodities,negative,0.03,0.97,0.0
2015-01-28,2015-01-29,oil futures crude inventories us dollar opec brent,negative,0.01,0.99,0.0
2015-01-29,2015-01-29,oil prices us inventories crude glut opec dollar index,negative,0.01,0.99,0.0
2015-01-25,2015-01-30,crude oil greece austerity inventories ecb,negative,0.01,0.99,0.0
2015-01-26,2015-01-30,gold greece syriza euro commodities,negative,0.02,0.98,0.0
2015-01-27,2015-01-30,gold durable goods us economy federal reserve commodities,negative,0.03,0.97,0.0
2015-01-28,2015-01-30,oil futures crude inventories us dollar opec brent,negative,0.01,0.99,0.0
2015-01-29,2015-01-30,oil prices us inventories crude glut opec dollar index,negative,0.01,0.99,0.0
2015-01-30,2015-01-30,opec oil supply angola saudi arabia market share,negative,0.0,0.98,0.01
2015-01-25,2015-01-31,crude oil greece austerity inventories ecb,negative,0.01,0.99,0.0
2015-01-26,2015-01-31,gold greece syriza euro commodities,negative,0.02,0.98,0.0
2015-01-27,2015-01-31,gold durable goods us economy federal reserve commodities,negative,0.03,0.97,0.0
2015-01-28,2015-01-31,oil futures crude inventories us dollar opec brent,negative,0.01,0.99,0.0
2015-01-29,2015-01-31,oil prices us inventories crude glut opec dollar index,negative,0.01,0.99,0.0
2015-01-30,2015-01-31,opec oil supply angola saudi arabia market share,negative,0.0,0.98,0.01
2015-01-31,2015-01-31,oil prices gastoliquids sasol shale gas energy industry,negative,0.08,0.91,0.0
2015-01-26,2015-02-01,gold greece syriza euro commodities,negative,0.02,0.98,0.0
2015-01-27,2015-02-01,gold durable goods us economy federal reserve commodities,negative,0.03,0.97,0.0
2015-01-28,2015-02-01,oil futures crude inventories us dollar opec brent,negative,0.01,0.99,0.0
2015-01-29,2015-02-01,oil prices us inventories crude glut opec dollar index,negative,0.01,0.99,0.0
2015-01-30,2015-02-01,opec oil supply angola saudi arabia market share,negative,0.0,0.98,0.01
2015-01-31,2015-02-01,oil prices gastoliquids sasol shale gas energy industry,negative,0.08,0.91,0.0
2015-02-01,2015-02-01,wheat soybeans global supply prices usda,negative,0.03,0.97,0.0
2015-01-27,2015-02-02,gold durable goods us economy federal reserve commodities,negative,0.03,0.97,0.0
2015-01-28,2015-02-02,oil futures crude inventories us dollar opec brent,negative,0.01,0.99,0.0
2015-01-29,2015-02-02,oil prices us inventories crude glut opec dollar index,negative,0.01,0.99,0.0
2015-01-30,2015-02-02,opec oil supply angola saudi arabia market share,negative,0.0,0.98,0.01
2015-01-31,2015-02-02,oil prices gastoliquids sasol shale gas energy industry,negative,0.08,0.91,0.0
2015-02-01,2015-02-02,wheat soybeans global supply prices usda,negative,0.03,0.97,0.0
2015-02-02,2015-02-02,crude oil global economy china manufacturing us growth oil supply,negative,0.02,0.98,0.0
2015-01-28,2015-02-03,oil futures crude inventories us dollar opec brent,negative,0.01,0.99,0.0
2015-01-29,2015-02-03,oil prices us inventories crude glut opec dollar index,negative,0.01,0.99,0.0
2015-01-30,2015-02-03,opec oil supply angola saudi arabia market share,negative,0.0,0.98,0.01
2015-01-31,2015-02-03,oil prices gastoliquids sasol shale gas energy industry,negative,0.08,0.91,0.0
2015-02-01,2015-02-03,wheat soybeans global supply prices usda,negative,0.03,0.97,0.0
2015-02-02,2015-02-03,crude oil global economy china manufacturing us growth oil supply,negative,0.02,0.98,0.0
2015-02-03,2015-02-03,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-01-29,2015-02-04,oil prices us inventories crude glut opec dollar index,negative,0.01,0.99,0.0
2015-01-30,2015-02-04,opec oil supply angola saudi arabia market share,negative,0.0,0.98,0.01
2015-01-31,2015-02-04,oil prices gastoliquids sasol shale gas energy industry,negative,0.08,0.91,0.0
2015-02-01,2015-02-04,wheat soybeans global supply prices usda,negative,0.03,0.97,0.0
2015-02-02,2015-02-04,crude oil global economy china manufacturing us growth oil supply,negative,0.02,0.98,0.0
2015-02-03,2015-02-04,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-02-04,2015-02-04,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-01-30,2015-02-05,opec oil supply angola saudi arabia market share,negative,0.0,0.98,0.01
2015-01-31,2015-02-05,oil prices gastoliquids sasol shale gas energy industry,negative,0.08,0.91,0.0
2015-02-01,2015-02-05,wheat soybeans global supply prices usda,negative,0.03,0.97,0.0
2015-02-02,2015-02-05,crude oil global economy china manufacturing us growth oil supply,negative,0.02,0.98,0.0
2015-02-03,2015-02-05,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-02-04,2015-02-05,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-02-05,2015-02-05,crude oil inventories greece debt brent market sentiment,negative,0.03,0.97,0.0
2015-01-31,2015-02-06,oil prices gastoliquids sasol shale gas energy industry,negative,0.08,0.91,0.0
2015-02-01,2015-02-06,wheat soybeans global supply prices usda,negative,0.03,0.97,0.0
2015-02-02,2015-02-06,crude oil global economy china manufacturing us growth oil supply,negative,0.02,0.98,0.0
2015-02-03,2015-02-06,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-02-04,2015-02-06,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-02-05,2015-02-06,crude oil inventories greece debt brent market sentiment,negative,0.03,0.97,0.0
2015-02-06,2015-02-06,crude oil futures us jobs supply glut greece,positive,0.78,0.21,0.0
2015-02-06,2015-02-06,gold us jobs greece futures federal reserve,negative,0.03,0.96,0.0
2015-02-01,2015-02-07,wheat soybeans global supply prices usda,negative,0.03,0.97,0.0
2015-02-02,2015-02-07,crude oil global economy china manufacturing us growth oil supply,negative,0.02,0.98,0.0
2015-02-03,2015-02-07,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-02-04,2015-02-07,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-02-05,2015-02-07,crude oil inventories greece debt brent market sentiment,negative,0.03,0.97,0.0
2015-02-06,2015-02-07,crude oil futures us jobs supply glut greece,positive,0.78,0.21,0.0
2015-02-06,2015-02-07,gold us jobs greece futures federal reserve,negative,0.03,0.96,0.0
2015-02-02,2015-02-08,crude oil global economy china manufacturing us growth oil supply,negative,0.02,0.98,0.0
2015-02-03,2015-02-08,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-02-04,2015-02-08,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-02-05,2015-02-08,crude oil inventories greece debt brent market sentiment,negative,0.03,0.97,0.0
2015-02-06,2015-02-08,crude oil futures us jobs supply glut greece,positive,0.78,0.21,0.0
2015-02-06,2015-02-08,gold us jobs greece futures federal reserve,negative,0.03,0.96,0.0
2015-02-08,2015-02-08,gold copper china trade greece debt us economy,negative,0.04,0.96,0.0
2015-02-03,2015-02-09,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-02-04,2015-02-09,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-02-05,2015-02-09,crude oil inventories greece debt brent market sentiment,negative,0.03,0.97,0.0
2015-02-06,2015-02-09,crude oil futures us jobs supply glut greece,positive,0.78,0.21,0.0
2015-02-06,2015-02-09,gold us jobs greece futures federal reserve,negative,0.03,0.96,0.0
2015-02-08,2015-02-09,gold copper china trade greece debt us economy,negative,0.04,0.96,0.0
2015-02-09,2015-02-09,oil prices opec us production supply forecast brent crude,negative,0.02,0.98,0.0
2015-02-04,2015-02-10,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-02-05,2015-02-10,crude oil inventories greece debt brent market sentiment,negative,0.03,0.97,0.0
2015-02-06,2015-02-10,crude oil futures us jobs supply glut greece,positive,0.78,0.21,0.0
2015-02-06,2015-02-10,gold us jobs greece futures federal reserve,negative,0.03,0.96,0.0
2015-02-08,2015-02-10,gold copper china trade greece debt us economy,negative,0.04,0.96,0.0
2015-02-09,2015-02-10,oil prices opec us production supply forecast brent crude,negative,0.02,0.98,0.0
2015-02-10,2015-02-10,copper prices china inflation economic slowdown stimulus measures commodity markets,negative,0.03,0.97,0.0
2015-02-05,2015-02-11,crude oil inventories greece debt brent market sentiment,negative,0.03,0.97,0.0
2015-02-06,2015-02-11,crude oil futures us jobs supply glut greece,positive,0.78,0.21,0.0
2015-02-06,2015-02-11,gold us jobs greece futures federal reserve,negative,0.03,0.96,0.0
2015-02-08,2015-02-11,gold copper china trade greece debt us economy,negative,0.04,0.96,0.0
2015-02-09,2015-02-11,oil prices opec us production supply forecast brent crude,negative,0.02,0.98,0.0
2015-02-10,2015-02-11,copper prices china inflation economic slowdown stimulus measures commodity markets,negative,0.03,0.97,0.0
2015-02-11,2015-02-11,crude oil stockpiles greece opec prices,negative,0.02,0.98,0.0
2015-02-06,2015-02-12,crude oil futures us jobs supply glut greece,positive,0.78,0.21,0.0
2015-02-06,2015-02-12,gold us jobs greece futures federal reserve,negative,0.03,0.96,0.0
2015-02-08,2015-02-12,gold copper china trade greece debt us economy,negative,0.04,0.96,0.0
2015-02-09,2015-02-12,oil prices opec us production supply forecast brent crude,negative,0.02,0.98,0.0
2015-02-10,2015-02-12,copper prices china inflation economic slowdown stimulus measures commodity markets,negative,0.03,0.97,0.0
2015-02-11,2015-02-12,crude oil stockpiles greece opec prices,negative,0.02,0.98,0.0
2015-02-12,2015-02-12,crude oil ukraine ceasefire greek bailout market sentiment brent,positive,0.85,0.15,0.0
2015-02-08,2015-02-13,gold copper china trade greece debt us economy,negative,0.04,0.96,0.0
2015-02-09,2015-02-13,oil prices opec us production supply forecast brent crude,negative,0.02,0.98,0.0
2015-02-10,2015-02-13,copper prices china inflation economic slowdown stimulus measures commodity markets,negative,0.03,0.97,0.0
2015-02-11,2015-02-13,crude oil stockpiles greece opec prices,negative,0.02,0.98,0.0
2015-02-12,2015-02-13,crude oil ukraine ceasefire greek bailout market sentiment brent,positive,0.85,0.15,0.0
2015-02-13,2015-02-13,gold prices us dollar retail sales jobless claims greece bailout,negative,0.21,0.78,0.0
2015-02-08,2015-02-14,gold copper china trade greece debt us economy,negative,0.04,0.96,0.0
2015-02-09,2015-02-14,oil prices opec us production supply forecast brent crude,negative,0.02,0.98,0.0
2015-02-10,2015-02-14,copper prices china inflation economic slowdown stimulus measures commodity markets,negative,0.03,0.97,0.0
2015-02-11,2015-02-14,crude oil stockpiles greece opec prices,negative,0.02,0.98,0.0
2015-02-12,2015-02-14,crude oil ukraine ceasefire greek bailout market sentiment brent,positive,0.85,0.15,0.0
2015-02-13,2015-02-14,gold prices us dollar retail sales jobless claims greece bailout,negative,0.21,0.78,0.0
2015-02-09,2015-02-15,oil prices opec us production supply forecast brent crude,negative,0.02,0.98,0.0
2015-02-10,2015-02-15,copper prices china inflation economic slowdown stimulus measures commodity markets,negative,0.03,0.97,0.0
2015-02-11,2015-02-15,crude oil stockpiles greece opec prices,negative,0.02,0.98,0.0
2015-02-12,2015-02-15,crude oil ukraine ceasefire greek bailout market sentiment brent,positive,0.85,0.15,0.0
2015-02-13,2015-02-15,gold prices us dollar retail sales jobless claims greece bailout,negative,0.21,0.78,0.0
2015-02-15,2015-02-15,crude oil production cuts brent us dollar economic data,positive,1.0,0.0,0.0
2015-02-15,2015-02-15,gold us dollar greece federal reserve commodities,negative,0.03,0.97,0.0
2015-02-10,2015-02-16,copper prices china inflation economic slowdown stimulus measures commodity markets,negative,0.03,0.97,0.0
2015-02-11,2015-02-16,crude oil stockpiles greece opec prices,negative,0.02,0.98,0.0
2015-02-12,2015-02-16,crude oil ukraine ceasefire greek bailout market sentiment brent,positive,0.85,0.15,0.0
2015-02-13,2015-02-16,gold prices us dollar retail sales jobless claims greece bailout,negative,0.21,0.78,0.0
2015-02-15,2015-02-16,crude oil production cuts brent us dollar economic data,positive,1.0,0.0,0.0
2015-02-15,2015-02-16,gold us dollar greece federal reserve commodities,negative,0.03,0.97,0.0
2015-02-16,2015-02-16,natural gas prices weather storage futures,negative,0.07,0.92,0.01
2015-02-11,2015-02-17,crude oil stockpiles greece opec prices,negative,0.02,0.98,0.0
2015-02-12,2015-02-17,crude oil ukraine ceasefire greek bailout market sentiment brent,positive,0.85,0.15,0.0
2015-02-13,2015-02-17,gold prices us dollar retail sales jobless claims greece bailout,negative,0.21,0.78,0.0
2015-02-15,2015-02-17,crude oil production cuts brent us dollar economic data,positive,1.0,0.0,0.0
2015-02-15,2015-02-17,gold us dollar greece federal reserve commodities,negative,0.03,0.97,0.0
2015-02-16,2015-02-17,natural gas prices weather storage futures,negative,0.07,0.92,0.01
2015-02-17,2015-02-17,copper greece euro zone bailout commodities,negative,0.25,0.75,0.0
2015-02-12,2015-02-18,crude oil ukraine ceasefire greek bailout market sentiment brent,positive,0.85,0.15,0.0
2015-02-13,2015-02-18,gold prices us dollar retail sales jobless claims greece bailout,negative,0.21,0.78,0.0
2015-02-15,2015-02-18,crude oil production cuts brent us dollar economic data,positive,1.0,0.0,0.0
2015-02-15,2015-02-18,gold us dollar greece federal reserve commodities,negative,0.03,0.97,0.0
2015-02-16,2015-02-18,natural gas prices weather storage futures,negative,0.07,0.92,0.01
2015-02-17,2015-02-18,copper greece euro zone bailout commodities,negative,0.25,0.75,0.0
