Date,Headline,Classification,Positive,Negative,Neutral
20150106,wheat futures extend rally us cold blast threatens crops,negative,0.27,0.72,0.0
20150106,wti falls $ 4850 brent $ 52 rout continues,negative,0.01,0.99,0.0
20150106,wti oil futures trade near $ 49 barrel amid bearish sentiment,positive,0.76,0.23,0.01
20150107,brent oil plunges $ 50 barrel first time since may 2009,negative,0.01,0.99,0.0
20150107,brent oil slips $ 50 mounting glut slack demand,negative,0.01,0.99,0.0
20150107,copper futures trade near 41/2 year low stronger dollar weighs,negative,0.02,0.98,0.0
20150107,gold futures dip hold near 3week high ahead fed minutes,negative,0.01,0.98,0.0
20150107,gold hits session lows upbeat adp data,negative,0.03,0.97,0.0
20150107,gold prices gain asia market notes patience fed higher rates,positive,0.99,0.01,0.0
20150107,natural gas futures waver traders weigh shifting weather forecasts,negative,0.09,0.91,0.0
20150107,nymex crude gains asia us stocks drop patient fed stance,positive,0.5,0.5,0.0
20150107,soybean futures third day south america crop concerns,positive,0.99,0.01,0.0
20150107,wti oil futures trim gains us supply data,negative,0.05,0.95,0.0
20150108,copper futures rise ecb hopes upbeat us outlook,positive,0.99,0.01,0.0
20150108,gold futures edge lower ahead us data,negative,0.01,0.99,0.0
20150108,gold futures turn positive jobless claims miss,positive,0.79,0.21,0.0
20150108,gold prices dip asia focus upcoming us jobs data,negative,0.01,0.99,0.0
20150108,natural gas futures edge higher storage data,positive,0.98,0.02,0.0
20150108,chance opec output cut even oil dips $ 50 gulf delegates,positive,0.71,0.29,0.0
20150108,nymex crude jumps asia rebound ahead us jobs data,positive,0.99,0.01,0.0
20150108,oil holds traders search floor rout brent $ 50,negative,0.08,0.91,0.01
20150108,wheat near 1month low amid easing concerns us crops,negative,0.01,0.99,0.0
20150108,wti crude brent oil futures turn negative volatile trade,negative,0.32,0.68,0.0
20150108,wti oil futures hold gains brent $ 51 sentiment recovers,positive,0.94,0.04,0.02
20150109,crude oil futures reapproach 5year lows,negative,0.13,0.87,0.0
20150109,gold higher gains limited strong dollar,positive,0.99,0.01,0.0
20150109,oil hits april 2009 low pares loss us oil rig data,negative,0.16,0.84,0.0
20150111,crude oil futures weekly outlook january 12 16,neutral,0.01,0.43,0.56
20150111,gold / silver / copper futures weekly outlook january 12 16,negative,0.08,0.78,0.13
20150111,gold prices gain early asia dollar index eases,positive,0.99,0.01,0.0
20150111,grain futures weekly outlook january 12 16,negative,0.02,0.7,0.28
20150111,natural gas futures weekly outlook january 12 16,negative,0.03,0.83,0.14
20150111,nymex crude falls sharply asia oversupply worries grow,negative,0.01,0.99,0.0
20150112,copper drops 5year low demand concerns stronger dollar,negative,0.01,0.99,0.0
20150112,copper futures trade near lowest since october 2009,negative,0.24,0.75,0.0
20150112,crude oil extends selloff bearish sentiment dominates,negative,0.06,0.93,0.01
20150112,gold climbs 4week high oil rout continues,positive,0.99,0.01,0.0
20150112,gold eases asia investors eye sharp falls commodity complex,negative,0.02,0.98,0.0
20150112,natural gas futures tumble 3 % mild weather outlook,negative,0.04,0.96,0.0
20150112,nymex crude dips early asia trade us stocks data ahead,negative,0.01,0.99,0.0
20150112,oil tumbles 5 percent new low goldman price forecast cut,negative,0.01,0.99,0.0
20150112,us wheat futures hold near 6week low ahead usda reports,negative,0.04,0.95,0.0
20150112,venezuela iran plea oil cut hits gulf opec brick wall,negative,0.43,0.57,0.0
20150112,wti brent trade near 51/2 year lows goldman cuts forecast,negative,0.01,0.98,0.0
20150113,copper plunges 5year low despite china trade data,negative,0.01,0.99,0.0
20150113,copper prices plunge asia sell 4 %,negative,0.03,0.97,0.0
20150113,gold futures trim gains hold near 12week high,negative,0.08,0.91,0.01
20150113,gold hits 12week high oil extends selloff,positive,0.98,0.02,0.0
20150113,gold prices dip asia physical demand eyed india china,negative,0.01,0.99,0.0
20150113,natural gas futures rebound hitting 2year low,positive,0.96,0.04,0.0
20150113,nymex crude oil dips asia api shows solid build,negative,0.01,0.99,0.0
20150113,oil futures trim losses wti rises back $ 45 volatile trade,negative,0.06,0.94,0.0
20150113,oil prices uae defends production hold,neutral,0.0,0.04,0.95
20150113,us soybeans edge higher plunging 35 % monday,positive,0.99,0.01,0.0
20150113,wti falls $ 45 barrel oil extends selloff near 6year low,negative,0.01,0.99,0.0
20150114,copper plunges 6 % hit lowest since june 2009,negative,0.02,0.98,0.0
20150114,gold falls 12week high commodities collapse,negative,0.02,0.98,0.0
20150114,gold hits session highs dismal us retail sales data,negative,0.17,0.83,0.0
20150114,gold prices dip asia despite dollar easing intraday trade,negative,0.01,0.98,0.0
20150114,kerry irans zarif resume nuclear talks unexpectedly,negative,0.36,0.62,0.01
20150114,natural gas futures surge 6 % forecasts turn chilly,positive,0.99,0.01,0.0
20150114,nymex crude gives early asia gains supply worries remain center,positive,0.97,0.02,0.01
20150114,oil surges 5 percent options expiry bounce seen fleeting,positive,0.99,0.01,0.0
20150114,oil trades near 6year low amid global growth concerns,negative,0.02,0.98,0.0
20150114,us grains sharply soybeans fall 6week low,negative,0.04,0.96,0.0
20150114,wti oil futures trim gains bearish us supply data,negative,0.02,0.97,0.0
20150115,copper rebounds falling lowest level since june 2009,negative,0.23,0.77,0.0
20150115,gold holds near 4month high us data snb still focus,positive,0.86,0.03,0.11
20150115,gold prices dip asia dollar strength prospects focus,negative,0.03,0.97,0.0
20150115,gold turns higher swiss national bank cuts rates,positive,0.62,0.38,0.0
20150115,natural gas futures add gains bullish storage data,positive,0.99,0.01,0.0
20150115,nymex crude asia sentiment whipsawed currency moves,positive,0.92,0.08,0.0
20150115,oil futures resume decline amid doubts wednesdays rally,negative,0.24,0.75,0.0
20150115,oil futures swing gains losses volatile trade,positive,0.63,0.35,0.03
20150115,oil settles despite promising midday rally,negative,0.01,0.93,0.06
20150115,opec see market share drop even oil slump slows shale boom,negative,0.01,0.99,0.0
20150115,us grains edge higher remain near multiweek lows,positive,0.87,0.13,0.0
20150116,crude oil gains ground iea comments snb move support,positive,0.99,0.0,0.0
20150116,gold slides lower remains close 4month peak,negative,0.01,0.99,0.0
20150116,oil price recovery yet despite us shale slowdown iea,positive,0.99,0.01,0.0
20150116,oil prices rise iea says signs market tide turn,positive,0.99,0.01,0.0
20150118,crude oil futures weekly outlook january 19 23,neutral,0.01,0.23,0.77
20150118,gold / silver / copper futures weekly outlook january 19 23,negative,0.06,0.76,0.18
20150118,gold prices flat higher asia investors focus weak inflation,negative,0.03,0.76,0.21
20150118,grain futures weekly outlook january 19 23,neutral,0.01,0.41,0.58
20150118,iran ministers saudi visit delayed due oil price fall tehran,negative,0.01,0.99,0.0
20150118,natural gas futures weekly outlook january 19 23,negative,0.01,0.57,0.41
20150118,nymex crude weaker asia producers continue pump amid low demand,negative,0.01,0.99,0.0
20150119,copper futures fluctuate china gdp focus,negative,0.41,0.59,0.0
20150119,copper tumbles 2 % markets brace gloomy china gdp,negative,0.01,0.99,0.0
20150119,crude oil futures decline investors weigh supply outlook,positive,0.8,0.19,0.0
20150119,gold futures ease back modestly holidaythinned trade,negative,0.25,0.75,0.0
20150119,gold prices dip early asia china data awaited,negative,0.01,0.99,0.0
20150119,gold trades near 4month high ecb meeting eyed,positive,0.95,0.02,0.02
20150119,gold copper gain asia china data paints mixed outlook,positive,0.98,0.02,0.0
20150119,iran sees opec shift toward cut says oil industry could withstand $ 25 crude,negative,0.21,0.79,0.0
20150119,natural gas futures plunge 4 % mild weather outlook,negative,0.09,0.91,0.0
20150119,nymex crude falls china 2014 gdp disappoints,negative,0.01,0.99,0.0
20150119,nymex crude oil prices slump asia ahead key china data sets,negative,0.01,0.99,0.0
20150119,oil futures lose 1 % amid rising opec supply,negative,0.02,0.98,0.0
20150119,oil prices slip chinese data record iraq output,negative,0.01,0.99,0.0
20150120,copper futures sharply china gdp data,positive,0.83,0.17,0.0
20150120,gold approaches $ 1300 ecb qe greece vote focus,positive,0.95,0.05,0.0
20150120,gold prices flat asia investors look ahead euro greece moves,neutral,0.0,0.03,0.97
20150120,gold rallies highest since august ahead ecb greek vote,positive,0.99,0.01,0.0
20150120,natural gas futures plummet 7 % warmer outlook,negative,0.04,0.96,0.0
20150120,nymex crude weaker early asia us supply reports ahead,negative,0.01,0.99,0.0
20150120,oil falls imf cuts forecast iran hints $ 25 oil,negative,0.06,0.93,0.0
20150120,special report islamic state wheat season sows seeds discontent,negative,0.29,0.7,0.01
20150120,us grains pressure soybeans trade 3month low,negative,0.01,0.99,0.0
20150120,wti oil falls $ 47 amid gloomy demand outlook,negative,0.01,0.99,0.0
20150120,wti oil futures 3 % china gdp data imf forecast,negative,0.09,0.91,0.0
20150121,copper futures fall 1 % amid gloomy demand outlook,negative,0.01,0.99,0.0
20150121,gold climbs $ 1300 first time since august ahead ecb,positive,0.99,0.01,0.0
20150121,gold prices dip asia ahead ecb meeting expected ease policy,negative,0.01,0.99,0.0
20150121,gold remains $ 1300 following mixed us housing data,neutral,0.01,0.44,0.55
20150121,nymex crude falls asia api data shows large us stockpile build,negative,0.04,0.95,0.0
20150121,oil futures rebound gains remain limited amid demand concerns,positive,0.93,0.07,0.0
20150121,oil futures stage minirally investors cover shorts ahead ecb,positive,0.74,0.26,0.0
20150121,us gas futures rebound tuesdays almost 10 % plunge,positive,0.99,0.01,0.0
20150121,us wheat rises 2nd day hitting 10week low,positive,0.99,0.01,0.0
20150122,copper futures decline ecb qe decision looms,positive,0.57,0.43,0.0
20150122,copper prices ease hsbc china flash pmi shows contraction,negative,0.02,0.98,0.0
20150122,gold edges lower investors book profits ahead ecb,positive,0.58,0.41,0.0
20150122,gold prices narrow range ahead hsbc china flash pmi survey,negative,0.01,0.99,0.0
20150122,gold prices mostly steady news saudi king abdullahs death,neutral,0.0,0.0,1.0
20150122,gold turns higher ecb launches qe,positive,0.99,0.01,0.0
20150122,natural gas futures plunge 5 % bearish storage data,negative,0.02,0.98,0.0
20150122,nymex crude mostly steady early asia ahead hsbc china flash pmi,neutral,0.0,0.0,1.0
20150122,nymex crude surges saudi king abdullahs death hsbc survey tempers,positive,0.99,0.01,0.0
20150122,nymex crude sharply asia saudi king abdullahs death,positive,0.93,0.07,0.0
20150122,oil futures slump ahead ecb decision us supply data,negative,0.34,0.66,0.0
20150122,saudi king abdullah dies new ruler salman,negative,0.43,0.56,0.01
20150122,un condemns attack libyan central bank demands inquiry,negative,0.11,0.81,0.08
20150122,us soybeans extend bounce 3month low,negative,0.02,0.98,0.0
20150122,wti oil futures add losses weekly us supply report,negative,0.24,0.76,0.0
20150122,wti brent oil futures erase gains choppy trade ecb move,negative,0.04,0.95,0.01
20150123,crude oil remains supported news saudi kings death,neutral,0.02,0.0,0.98
20150123,gold pulls away 5month highs ecb rally subsides,negative,0.04,0.95,0.0
20150125,crude oil futures weekly outlook january 26 30,neutral,0.0,0.17,0.83
20150125,gold / silver / copper futures weekly outlook january 26 30,negative,0.05,0.78,0.17
20150125,gold prices expected new greek pm push antiausterity plans,negative,0.35,0.64,0.02
20150125,grain futures weekly outlook january 26 30,neutral,0.01,0.34,0.65
20150125,natural gas futures weekly outlook january 26 30,neutral,0.01,0.45,0.53
20150125,nymex crude slumps greece antiausterity party wins snap polls,negative,0.02,0.98,0.0
20150126,copper futures slump 51/2 year low greece vote,negative,0.04,0.96,0.0
20150126,gold declines investors digest greece election results,negative,0.06,0.94,0.0
20150126,gold 1 % greek elections,positive,0.9,0.09,0.0
20150126,gold prices flat asia euro concerns wane eyes us,neutral,0.0,0.04,0.95
20150126,natural gas futures drop 3 % despite northeast blizzard,negative,0.02,0.98,0.0
20150126,nymex crude gains slightly early asia us stockpile data ahead,positive,0.99,0.01,0.0
20150126,soybeans fall 3month low amid optimism brazil crop,negative,0.02,0.98,0.0
20150126,wti oil futures fall 6year low syriza wins greek election,positive,0.94,0.06,0.0
20150126,wti brent oil futures turn higher bullish elbadri comments,positive,0.98,0.02,0.0
20150127,copper pressure amid china slowdown concerns,negative,0.02,0.98,0.0
20150127,gold fluctuates near 1week low ahead fed meeting,negative,0.01,0.99,0.0
20150127,gold hits session highs dismal durable goods data,negative,0.1,0.9,0.0
20150127,gold prices slightly weaker asia focus fed meeting,negative,0.01,0.99,0.0
20150127,natural gas futures climb 3 % northeast blizzard demand,positive,0.98,0.02,0.0
20150127,nymex crude oil weaker asia api data shows large us stocks build,negative,0.03,0.97,0.0
20150127,nymex crude pressure api data shows large stocks build,negative,0.19,0.81,0.0
20150127,us crude oil inches higher mixed data api report ahead,positive,0.99,0.01,0.0
20150127,us wheat futures slump 11week low amid demand concerns,negative,0.05,0.95,0.0
20150127,wti oil futures edge higher ahead supply data,positive,0.99,0.01,0.0
20150128,copper futures edge higher ahead fed decision,positive,0.99,0.01,0.0
20150128,gold futures inch lower ahead fed outcome,negative,0.02,0.98,0.0
20150128,"gold prices ease asia fed signal "" solid "" economic growth",negative,0.37,0.62,0.01
20150128,gold slightly lower ahead fomc decision,negative,0.01,0.99,0.0
20150128,natural gas futures drop 2 % aftermath northeast blizzard,negative,0.02,0.98,0.0
20150128,nymex crude rebounds asia investors noting us demand prospects,positive,0.99,0.01,0.0
20150128,us wheat futures 6th straight day trade 11week low,positive,0.97,0.03,0.0
20150128,wti oil futures pressure ahead us supply data,negative,0.08,0.91,0.01
20150128,wti oil remains negative territory weekly supply data,negative,0.0,0.67,0.33
20150129,copper futures reapproach 6year low fed greece jitters,negative,0.05,0.95,0.0
20150129,crude oil futures rebound volatile trade brent $ 49,positive,0.78,0.21,0.0
20150129,gold falls 1week low upbeat jobless claims data,negative,0.01,0.99,0.0
20150129,gold futures decline us rate hike outlook,negative,0.07,0.93,0.0
20150129,gold prices rebound early asia chinese new year demand eyed,positive,0.99,0.01,0.0
20150129,natural gas futures hit 28month low bearish storage data,negative,0.02,0.98,0.0
20150129,nymex crude continues overnight gains asia demand prospects eyed,positive,0.99,0.01,0.0
20150129,us grain futures sink multimonth lows ample supplies,negative,0.04,0.96,0.0
20150129,wti oil futures hold near 6year low us stockpiles surge,positive,0.77,0.23,0.0
20150130,crude oil rallies 1 % supply glut worries still weigh,positive,0.98,0.01,0.0
20150130,gold regains ground dollar softens us data ahead,positive,0.98,0.02,0.0
20150130,opec oil output rises january key members stand firm survey,negative,0.0,1.0,0.0
20150131,cheap oil slams gastoliquids market,negative,0.24,0.75,0.0
20150201,copper retraces early losses hsbc pmi survey,negative,0.02,0.98,0.0
20150201,copper slumps china official pmi hsbc survey ahead,negative,0.01,0.99,0.0
20150201,crude oil futures weekly outlook february 2 6,negative,0.01,0.6,0.39
20150201,gold / silver / copper futures weekly outlook february 2 6,negative,0.11,0.78,0.11
20150201,grain futures weekly outlook february 2 6,negative,0.02,0.54,0.45
20150201,natural gas futures weekly outlook february 2 6,negative,0.02,0.85,0.13
20150201,nymex crude weak official china pmi hsbc survey ahead,negative,0.01,0.99,0.0
20150201,nymex crude slumps asia downbeat china pmi figures,negative,0.01,0.99,0.0
20150202,copper futures edge lower china pmi disappoints,negative,0.02,0.98,0.0
20150202,crude oil futures drop 3 % global growth concerns weigh,positive,0.85,0.15,0.0
20150202,crude oil turns lower choppy trade ism disappoints,negative,0.01,0.99,0.0
20150202,gold futures fluctuate amid us rate outlook greece jitters,negative,0.08,0.92,0.0
20150202,gold prices mostly steady asia chinese new year demand eyed,neutral,0.01,0.0,0.99
20150202,gold remains lower consumer spending data,negative,0.01,0.99,0.0
20150202,natural gas futures slump 28month low despite snowstorm,negative,0.03,0.97,0.0
20150202,nymex crude oil rebounds asia us industry stocks data ahead,positive,0.95,0.05,0.0
20150202,us wheat futures trade near 4month low amid ample supplies,negative,0.04,0.96,0.0
20150203,brent oil surges 1month high global production cuts,positive,0.9,0.1,0.0
20150203,copper hits 1week high rising oil prices stock gains lift sentiment,positive,0.99,0.01,0.0
20150203,crude oil futures extend 2day rally falling us rig count,negative,0.01,0.99,0.0
20150203,gold futures edge higher us economy focus,positive,0.99,0.01,0.0
20150203,gold prices gain asia following overnight trend cny demand eyed,positive,0.99,0.01,0.0
20150203,gold turns lower greece fears diminish,negative,0.02,0.98,0.0
20150203,natural gas trades near 28month low demand concerns,negative,0.02,0.98,0.0
20150203,nymex crude continues gains asia despite bearish api report,positive,0.98,0.01,0.0
20150203,us grain futures bounce multimonth lows bargainbuying,negative,0.31,0.68,0.0
20150204,copper turns lower hitting 2week high china stimulus hopes,negative,0.01,0.99,0.0
20150204,crude oil futures fall 2 % rallying 19 % four days,negative,0.41,0.59,0.0
20150204,federal energy use hits record low,negative,0.03,0.97,0.0
20150204,gold boosted weak us adp data china rrr cut,negative,0.2,0.8,0.0
20150204,gold continues overnight gains asia greece talks eyed,positive,0.99,0.01,0.0
20150204,gold futures rebound greece debt talks remain focus,positive,0.98,0.02,0.0
20150204,natural gas futures drop 2 % weather supplies focus,negative,0.46,0.54,0.0
20150204,nymex crude oil rebounds asia chinas move spur economy,positive,0.99,0.01,0.0
20150204,us wheat futures extend gains move 4month low,negative,0.09,0.9,0.0
20150204,wti oil extends losses bearish us supply data 5 %,negative,0.01,0.99,0.0
20150205,copper slumps greece uncertainty overshadows china stimulus,negative,0.01,0.99,0.0
20150205,crude oil rallies 3 % volatile trade wednesdays 9 % plunge,positive,0.98,0.01,0.01
20150205,exclusive venezuela ends algeria oil imports due logistical price issues sources,negative,0.01,0.99,0.0
20150205,gold futures supported greece uncertainty us jobs data eyed,positive,0.63,0.22,0.15
20150205,gold prices steady higher asia greece us jobs focus,positive,0.68,0.15,0.17
20150205,gold remains negative territory us claims trade data,negative,0.01,0.79,0.2
20150205,natural gas futures hit 32month low bearish storage data,negative,0.03,0.97,0.0
20150205,nymex crude jumps asia market eyes us jobs data demand outlook,positive,0.99,0.01,0.0
20150205,oil futures turn higher volatile trade heavy losses,positive,0.99,0.01,0.0
20150205,us corn trades near 2week peak outlook remains clouded,positive,0.85,0.15,0.01
20150205,wti oil futures extend losses plunging 9 % wednesday,negative,0.11,0.89,0.0
20150206,crude oil climbs 3 % eyes us data,positive,0.99,0.0,0.0
20150206,gold rises us employment data tap,positive,0.98,0.01,0.0
20150208,crude oil futures weekly outlook february 9 13,neutral,0.01,0.45,0.54
20150208,gold / silver / copper futures weekly outlook february 9 13,negative,0.11,0.79,0.11
20150208,gold prices rebound asia copper china trade greece eyed,positive,0.99,0.01,0.0
20150208,grain futures weekly outlook february 9 13,negative,0.03,0.61,0.37
20150208,natural gas futures weekly outlook february 9 13,negative,0.03,0.83,0.14
20150208,nymex crude holds gains asia view china may ease greece eyed,positive,0.97,0.03,0.01
20150209,copper slightly lower china stimulus hopes support,negative,0.06,0.93,0.0
20150209,crude oil hits session highs bullish opec monthly report,positive,0.99,0.01,0.0
20150209,gold asia weak china price data copper rebounds,positive,0.88,0.12,0.0
20150209,gold futures edge higher amid greece jitters,positive,0.99,0.01,0.0
20150209,gold prices dip ahead china price data greece remains spotlight,negative,0.01,0.99,0.0
20150209,gold slightly higher greece fed rate outlook focus,positive,0.99,0.01,0.0
20150209,natural gas futures rally new england braces snow,positive,0.98,0.01,0.01
20150209,nymex crude slightly ahead china producer consumer prices,positive,0.79,0.17,0.04
20150209,nymex crude falls weak chinese price data,negative,0.01,0.99,0.0
20150209,oil rallies bullish opec report falling us rig count,negative,0.02,0.98,0.0
20150209,us wheat futures decline usda report focus,positive,0.86,0.14,0.0
20150209,wti oil futures extend gains falling us rig count,negative,0.02,0.98,0.0
20150210,copper futures edge lower china cpi hits 5year low,negative,0.02,0.98,0.0
20150210,crude oil futures lose 1 % bearish iea report,negative,0.06,0.94,0.0
20150210,gold declines greek debt extension rumors,negative,0.03,0.97,0.0
20150210,gold futures edge higher amid greece uncertainty,positive,0.99,0.01,0.0
20150210,gold prices flat asia eyes greece parliament vote,neutral,0.0,0.06,0.94
20150210,natural gas futures extend rally winter heating demand hopes,positive,0.99,0.01,0.0
20150210,nymex crude quoted higher early asia despite solid api stocks build,positive,0.93,0.06,0.01
20150210,oils losses deepen wti crude 3 %,negative,0.06,0.94,0.0
20150210,us corn futures hold near 3week high usda report,negative,0.37,0.39,0.24
20150211,copper futures inch eurogroup meets greece,negative,0.31,0.64,0.05
20150211,gold eases early asia greece remains focus china demand eyed,negative,0.01,0.98,0.0
20150211,gold edges higher ahead eurogroup meeting greece,positive,0.99,0.0,0.0
20150211,gold futures inch higher ahead greece bailout talks,positive,0.98,0.01,0.0
20150211,natural gas soars 6 % hopes major storage withdrawal,positive,0.97,0.03,0.0
20150211,nymex crude drops early asia ample supplies slack demand,negative,0.01,0.99,0.0
20150211,oil futures turn lower volatile trade wti falls $ 50,negative,0.01,0.99,0.0
20150211,us wheat futures extend losses usda raises supply outlook,negative,0.06,0.94,0.0
20150211,wti oil extends losses bearish us supply data 35 %,negative,0.02,0.98,0.0
20150211,wti oil futures rise ahead us supply data,positive,0.95,0.05,0.0
20150212,copper futures hit session highs ukraine ceasefire deal,positive,0.92,0.08,0.0
20150212,gold bounces 5week low greek debt drama continues,negative,0.11,0.88,0.0
20150212,gold extends gains disappointing retail sales jobless claims,negative,0.07,0.93,0.0
20150212,gold prices asia ahead chinese new year holidays,positive,0.97,0.02,0.0
20150212,natural gas futures tumble 2 % bearish storage data,negative,0.01,0.99,0.0
20150212,nymex crude early asia volatile week nears close,negative,0.02,0.98,0.0
20150212,oil futures rebound 2day plunge wti 2 %,negative,0.33,0.67,0.0
20150212,us grain futures edge higher ample supplies limit gains,positive,0.98,0.02,0.0
20150212,wti oil futures rally 5 % choppy trade dollar weakens,positive,0.98,0.01,0.0
20150213,chinese pork prices fell amid increased stock,negative,0.01,0.99,0.0
20150213,crude oil rallies 1 % dollar continues soften,positive,0.98,0.01,0.0
20150213,gold gains ground weaker dollar eyes us data,positive,0.99,0.01,0.0
20150213,cocoa crisis means valentines day,negative,0.25,0.75,0.0
20150215,crude oil futures weekly outlook february 16 20,neutral,0.01,0.39,0.6
20150215,gold / silver / copper futures weekly outlook february 16 20,negative,0.09,0.73,0.18
20150215,gold prices dip early asia greece talks focus us shut,negative,0.01,0.99,0.0
20150215,grain futures weekly outlook february 16 20,negative,0.02,0.51,0.46
20150215,natural gas futures weekly outlook february 16 20,negative,0.02,0.73,0.25
20150215,nymex crude gains early asia shaky cease fire ukraine holds,positive,0.99,0.0,0.0
20150216,copper futures decline greek debt talks focus,positive,0.76,0.24,0.0
20150216,crude oil futures fluctuate holidaythinned trade,negative,0.31,0.6,0.09
20150216,gold edges higher ahead greece debt negotiations,positive,0.99,0.01,0.0
20150216,gold futures rise amid greece debt uncertainty,positive,0.99,0.01,0.0
20150216,gold prices gain greece euro zone reach impasse debt talks,positive,0.99,0.01,0.0
20150216,natural gas futures rise snow hits new england,positive,0.99,0.01,0.0
20150216,nymex crude eases early asia greece talks reach impasse bailout,negative,0.01,0.99,0.0
20150216,oil futures drop greece debt jitters japan gdp data,positive,0.65,0.35,0.0
20150217,copper futures decline greece debt talks collapse,positive,0.93,0.07,0.0
20150217,crude oil futures erase gains trade 3 % choppy trade,negative,0.25,0.71,0.05
20150217,gold declines greek debt jitters focus,negative,0.05,0.95,0.0
20150217,gold prices gain early asia trade thing lunar new year,positive,0.99,0.01,0.0
20150217,gold remains negative territory empire state data,negative,0.01,0.97,0.03
20150217,natural gas futures slip red earlier gains fade,negative,0.01,0.99,0.0
20150217,nymex crude weaker early asia lunar new year gears,negative,0.01,0.99,0.0
20150217,oil futures extend gains bullish momentum,positive,0.97,0.03,0.0
20150217,us wheat futures rise 4week high crop concerns,positive,0.99,0.01,0.0
20150218,copper futures edge lower greece debt talks focus,negative,0.33,0.66,0.0
20150218,gold futures trade near 6week low hopes greek debt deal,negative,0.04,0.95,0.0
20150218,gold prices jump asia mildly dovish fed minutes weak us data,positive,0.99,0.01,0.0
20150218,gold remains negative territory despite poor us housing data,negative,0.01,0.99,0.0
20150218,natural gas futures waver subdued trade ahead storage data,negative,0.08,0.87,0.05
20150218,nymex crude sharply asia api data shows massive crude build,positive,0.97,0.03,0.0
20150218,oil futures decline amid profittaking ahead us supply report,positive,0.72,0.28,0.0
20150218,oils losses deepen wti drops much 3 % ahead api data,negative,0.01,0.99,0.0
20150218,us soybean futures rise 5week high crushing demand,positive,0.99,0.01,0.0
20150219,copper edges lower holidaythinned trade greece focus,negative,0.01,0.99,0.0
20150219,csx plans bypass crude train derailment site state officials,positive,0.96,0.04,0.0
20150219,gold futures bounce 6week low dovish fomc minutes,negative,0.17,0.83,0.01
20150219,gold posts modest early gains asia investors eye greece bailout,positive,0.98,0.02,0.0
20150219,gold sharply jobless claims germanygreece drama focus,negative,0.05,0.95,0.0
20150219,natural gas futures 1 % storage data,negative,0.15,0.81,0.04
20150219,nymex crude rebounds early asia investors focus greece loans,positive,0.99,0.01,0.0
20150219,nymex oil futures plunge 4 % ahead us supply data,negative,0.11,0.89,0.0
20150219,oil prices fall inventories build,negative,0.01,0.99,0.0
20150219,us wheat futures extend losses demand concerns,negative,0.07,0.93,0.0
20150219,wti oil futures sink almost 6 % ahead us supply report,positive,0.57,0.43,0.0
20150219,wti oil remains negative territory us supply data,negative,0.01,0.85,0.14
20150220,crude oil slips lower supply glut worries persist,negative,0.01,0.99,0.0
20150220,gold futures hold steady greece talks focus,neutral,0.0,0.0,1.0
20150220,oil steadies $ 60 us rig count expected fall,negative,0.02,0.98,0.0
20150222,crude oil futures weekly outlook february 23 27,neutral,0.01,0.27,0.72
20150222,gold / silver / copper futures weekly outlook february 23 27,negative,0.09,0.78,0.13
20150222,gold prices dip early asia china shut focus greece vote,negative,0.02,0.98,0.0
20150222,grain futures weekly outlook february 23 27,neutral,0.02,0.43,0.56
20150222,natural gas futures weekly outlook february 23 27,negative,0.02,0.64,0.34
